### VALYUTA MƏZƏNNƏLƏRİ CƏDVALİ (Официальные курсы валют CHF/USD по периодам)[cite: 3]

| Dönəm Başlanğıcı (Period Start) | Dönəm Sonu (Period End) | Məzənnə (CHF/USD Exchange Rate) |
| :--- | :--- | :--- |
| **01.01.2023** | **31.01.2023** | 0.98 |
| **01.04.2023** | **30.06.2023** | 0.93 |
| **01.07.2023** | **30.09.2023** | 0.91 |
| **01.10.2023** | **31.12.2023** | 0.88 |
| **01.01.2024** | **31.03.2024** | 0.90 |
| **01.04.2024** | **30.06.2024** | 0.87 |
| **01.07.2024** | **30.09.2024** | 0.90 |
| **01.10.2024** | **31.12.2024** | 0.88 |
| **01.01.2025** | **31.03.2025** | 0.86 |
| **01.04.2025** | **30.06.2025** | 0.90 |
| **01.07.2025** | **30.09.2025** | 0.85 |
| **01.09.2025** | **31.12.2025** | 0.81 |
| **01.01.2026** | **31.03.2026** | 0.80 |
| **01.04.2026** | **30.06.2026** | 0.79 |
| **01.07.2026** | **30.09.2026** | 0.79 |
