### GNG KODLARI VƏ CƏDVAL 6 SÜTUN UYĞUNLUĞU (Сопоставление кодов ГНГ со столбцами Таблицы 6)

| Kod GNG (Маска / Код) | Cədvəl 6 Sütun (Номер столбца) | Qrup təsviri / İstisna (Описание группы / Исключение) |
| :--- | :--- | :--- |
| **27090010** | Столбец 2 | Нефть сырая |
| **27090090** | Столбец 2 | Нефтепродукты |
| **2710** | Столбец 2 | Нефтепродукты |
| **2712** | Столбец 2 | Нефтепродукты |
| **2713** | Столбец 2 | Нефтепродукты |
| **27149000** | Столбец 2 | Битум и асфальты |
| **2715** | Столбец 2 | Смеси битумные |
| **340319** | Столбец 2 | Смазочные материалы |
| **340399** | Столбец 2 | Смазочные материалы прочие |
| **3404** | Столбец 2 | Воски искусственные |
| **381121** | Столбец 2 | Присадки к смазочным маслам |
| **381129** | Столбец 2 | Присадки прочие |
| **38170050** | Столбец 2 | Исключение! Смеси алкилбензолов |
| **38241000** | Столбец 2 | Готовые связующие вещества |
| **2705** | Столбец 3 | Энергетические газы |
| **2711** | Столбец 3 | Газы сжиженные |
| **27071 – 27075** | Столбец 4 | Бензол, толуол, ксилол |
| **27079920** | Столбец 4 | Масла фенольные |
| **28011** | Столбец 4 | Хлор |
| **28013000** | Столбец 4 | Фтор, бром |
| **28013010** | Столбец 4 | Фтор |
| **28041 – 28044** | Столбец 4 | Водород, газы инертные, кислород |
| **28112100** | Столбец 4 | Диоксид углерода |
| **28121100** | Столбец 4 | Дихлорид карбонила (фосген) |
| **28141** | Столбец 4 | Аммиак безводный |
| **28539030** | Столбец 4 | Воздух жидкий |
| **2901** | Столбец 4 | Углеводороды ациклические |
| **2902** | Столбец 4 | Углеводороды циклические |
| **29321200** | Столбец 4 | Фуран |
| **29333100** | Столбец 4 | Пиридин и его соли |
| **29333955** | Столбец 4 | Пиперидин |
| **3817** | Столбец 4 | Алкенилбензолы (кроме 38170050!) |
| **1520** | Столбец 5 | Глицерин сырой |
| **270779980** | Столбец 5 | Смолы |
| **2905 – 2908** | Столбец 5 | Спирты, фенолы, фенороспирты |
| **29094100** | Столбец 5 | Диэтиленгликоль |
| **29321300** | Столбец 5 | Спирт фурфуриловый |
| **3820** | Столбец 5 | Антифризы |
| **38237** | Столбец 5 | Спирты жирные промышленные |
| **3826** | Столбец 5 | Биодизель и его смеси |
| **39053** | Столбец 5 | Спирт поливиниловый |
| **0401** | Столбец 6 | Молоко и сливки несгущенные |
| **04032000 – 04032039** | Столбец 6 | Йогурт |
| **04039091 – 04039099** | Столбец 6 | Пахта, свернувшиеся молоко |
| **04041000** | Столбец 6 | Сыворотка молочная |
| **04041048 – 04049089** | Столбец 6 | Продукты из натуральных компонентов молока |
| **0405** | Столбец 6 | Сливочное масло |
| **0406** | Столбец 6 | Сыры и творог |
| **1501 – 1506** | Столбец 6 | Жиры животные |
| **15161000 – 15161090** | Столбец 6 | Жиры и масла животные |
| **151790** | Столбец 6 | Смеси жиров (кроме растительных) |
| **2009** | Столбец 6 | Соки фруктовые и овощные |
| **2105** | Столбец 6 | Мороженое |
| **2201 – 2206** | Столбец 6 | Воды, пиво, вина, напитки |
