GNG_Code	Opisanie_Kategorii
2000000	Мясо и пищевые мясные субпродукты
2010000	Мясо КРС свежее или охлажденное
2011000	Мясо КРС в тушах
2012000	Мясо КРС необваленное
2012020	Туши КРС
2012030	Отрубы КРС
2012050	Четвертины КРС
2012090	Прочие отрубы КРС
2013000	Мясо КРС бескостное
2020000	Мясо КРС замороженное
2021000	Мясо КРС замороженное в тушах
2022000	Мясо КРС замороженное необваленное
2023000	Мясо КРС замороженное бескостное
2030000	Свинина свежая, охлажденная или замороженная
2031100	Свинина в тушах
2031200	Окорока и лопатки свиные
2031900	Прочая свинина
2040000	Баранина и козлятина
2050000	Конина, ослятина
2060000	Субпродукты пищевые КРС, свиней, овец
2070000	Мясо и субпродукты птицы
2080000	Прочее мясо и субпродукты
2090000	Сало свиное и жир птицы
2100000	Мясо соленое, сушеное, копченое
4020000	Молоко и сливки сгущенные
4039000	Пахта, йогурт, кефир
4040000	Сыворотка молочная
4050000	Масло сливочное и молочные жиры
4060000	Сыры и творог
4080000	Яйца птиц без скорлупы
8010000	Орехи кокосовые, бразильские, кешью
9010000	Кофе и шелуха кофе
9020000	Чай
9030000	Мате
9040000	Перец, ваниль, корица
9050000	Ваниль
9060000	Корица
9070000	Гвоздика
9080000	Мускатный орех
9090000	Семена аниса, бадьяна, фенхеля
9100000	Имбирь, шафран, турмерик
10010000	Пшеница и меслин
10020000	Рожь
10030000	Ячмень
10040000	Овес
10050000	Кукуруза
10060000	Рис
10070000	Сорго зерновое
10080000	Гречиха, просо, семена
11010000	Мука пшеничная или ржано-пшеничная
11020000	Мука из зерновых кроме пшеницы
11030000	Крупа, мука грубого помола
11040000	Зерно злаков обработанное
11050000	Мука, хлопья из картофеля
11060000	Мука из сушеных бобовых
12020000	Арахис нежареный
12080000	Мука из семян масличных
12120000	Плоды и семена масличные
13020000	Соки и экстракты растительные
15070000	Масло соевое
15080000	Масло арахисовое
15090000	Масло оливковое
15100000	Прочие масла оливковые
15110000	Масло пальмовое
15120000	Масло подсолнечное, сафлоровое
15130000	Масло кокосовое, пальмоядровое
15140000	Масло рапсовое, горчичное
15150000	Прочие жиры и масла
15160000	Жиры и масла гидрогенизированные
15180000	Масла химически модифицированные
15210000	Воски растительные и животные
16010000	Колбасы и аналогичные продукты
16020000	Готовые продукты из мяса
16030000	Экстракты и соки из мяса, рыбы
16040000	Готовая или консервированная рыба, икра
16050000	Готовые ракообразные, моллюски
17010000	Сахар тростниковый или свекловичный
17020000	Прочие сахара, сиропы
17040000	Кондитерские изделия из сахара
18010000	Какао-бобы
18020000	Шелуха и отходы какао
18030000	Какао-паста
18040000	Какао-масло, какао-жир
18050000	Какао-порошок без сахара
18060000	Шоколад и готовые пищевые продукты с какао
19020000	Макаронные изделия
19050000	Хлебобулочные и кондитерские изделия
20010000	Овощи и фрукты консервированные
20020000	Томаты консервированные
20030000	Грибы консервированные
20040000	Прочие овощи замороженные
20050000	Прочие овощи незамороженные
20060000	Овощи и фрукты засахаренные
20070000	Джемы, желе, мармелад
20080000	Фрукты и орехи консервированные
20090000	Соки фруктовые и овощные
21010000	Экстракты и эссенции кофе, чая
21020000	Дрожжи и пекарные порошки
21030000	Соусы и приправы
21040000	Супы и бульоны готовые
21050000	Мороженое
21060000	Пищевые продукты не поименованные
22010000	Воды минеральные и газированные
22020000	Воды с добавлением сахара, безалкогольные
22030000	Пиво солодовое
22040000	Вина виноградные натуральные
22050000	Вермуты и вина с растительными экстрактами
22060000	Напитки сброженные прочие (сидр, перри)
22070000	Спирт этиловый неденатурированный 80%+
22080000	Спирт этиловый <80%, крепкие спиртные напитки
22090000	Уксус и его заменители
24020000	Сигары, сигариллы, сигареты из табака
