Məsafə | Col 1 | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8 | Col 9 | Col 10
1-10 | 16.35 | 1.64 | 1.30 | 1.14 | 0.98 | 21.80 | 2.18 | 1.74 | 1.52 | 1.30
11-20 | 47.40 | 4.74 | 3.92 | 3.27 | 3.10 | 63.20 | 6.32 | 5.22 | 4.36 | 4.14
21-30 | 79.95 | 8.00 | 6.69 | 5.38 | 5.05 | 106.60 | 10.66 | 8.92 | 7.18 | 6.74
31-40 | 111.00 | 11.10 | 9.30 | 7.50 | 7.02 | 148.00 | 14.80 | 12.40 | 10.00 | 9.36
41-50 | 143.55 | 14.36 | 11.91 | 9.63 | 9.13 | 191.40 | 19.14 | 15.88 | 12.84 | 12.18
51-60 | 174.60 | 17.46 | 14.52 | 11.75 | 11.10 | 232.80 | 23.28 | 19.36 | 15.66 | 14.80
61-70 | 207.30 | 20.73 | 17.29 | 13.88 | 13.05 | 276.40 | 27.64 | 23.06 | 18.50 | 17.40
71-80 | 238.20 | 23.82 | 19.91 | 15.99 | 15.18 | 317.60 | 31.76 | 26.54 | 21.32 | 20.24
81-90 | 270.90 | 27.09 | 22.52 | 18.12 | 17.13 | 361.20 | 36.12 | 30.02 | 24.16 | 22.84
91-100 | 301.95 | 30.20 | 25.14 | 20.23 | 19.09 | 402.60 | 40.26 | 33.52 | 26.98 | 25.46
101-110 | 331.35 | 33.13 | 27.59 | 22.04 | 20.89 | 441.80 | 44.18 | 36.78 | 29.38 | 27.86
111-120 | 355.80 | 35.58 | 29.70 | 23.82 | 22.52 | 474.40 | 47.44 | 39.60 | 31.76 | 30.02
121-130 | 381.90 | 38.19 | 31.83 | 25.45 | 24.15 | 509.20 | 50.92 | 42.44 | 33.94 | 32.20
131-140 | 408.00 | 40.80 | 33.95 | 27.09 | 25.79 | 544.00 | 54.40 | 45.26 | 36.12 | 34.38
141-150 | 432.45 | 43.24 | 36.06 | 28.89 | 27.42 | 576.60 | 57.66 | 48.08 | 38.52 | 36.56
151-160 | 458.55 | 45.86 | 38.19 | 30.53 | 29.05 | 611.40 | 61.14 | 50.92 | 40.70 | 38.74
161-170 | 483.00 | 48.30 | 40.30 | 32.31 | 30.67 | 644.00 | 64.40 | 53.74 | 43.08 | 40.90
171-180 | 509.25 | 50.93 | 42.44 | 33.95 | 32.31 | 679.00 | 67.90 | 56.58 | 45.26 | 43.08
181-190 | 535.35 | 53.53 | 44.55 | 35.58 | 33.78 | 713.80 | 71.38 | 59.40 | 47.44 | 45.04
191-200 | 559.80 | 55.98 | 46.68 | 37.38 | 35.41 | 746.40 | 74.64 | 62.24 | 49.84 | 47.22
201-210 | 585.90 | 58.59 | 48.80 | 39.00 | 37.05 | 781.20 | 78.12 | 65.06 | 52.00 | 49.40
211-220 | 613.65 | 61.36 | 51.07 | 40.80 | 38.84 | 818.20 | 81.82 | 68.10 | 54.40 | 51.78
221-230 | 639.75 | 63.97 | 53.37 | 42.60 | 40.47 | 853.00 | 85.30 | 71.16 | 56.80 | 53.96
231-240 | 665.85 | 66.59 | 55.48 | 44.38 | 42.27 | 887.80 | 88.78 | 73.98 | 59.18 | 56.36
241-250 | 693.60 | 69.36 | 57.78 | 46.19 | 43.91 | 924.80 | 92.48 | 77.04 | 61.58 | 58.54
251-260 | 719.70 | 71.97 | 60.06 | 47.98 | 45.54 | 959.60 | 95.96 | 80.08 | 63.98 | 60.72
