Mesafa_km	5t	10t	15t	20t	20_60t
1-10 km	2.62	2.18	1.74	1.52	1.3
11-20 km	7.62	6.32	5.22	4.36	4.14
21-30 km	12.84	10.66	8.92	7.18	6.74
31-40 km	17.84	14.8	12.4	10.0	9.36
41-50 km	22.84	19.14	15.88	12.84	12.18
51-60 km	28.08	23.28	19.36	15.66	14.8
61-70 km	33.08	27.64	23.06	18.5	17.4
71-80 km	38.3	31.76	26.54	21.32	20.24
81-90 km	43.3	36.12	30.02	24.16	22.84
91-100 km	48.3	40.26	33.52	26.98	25.46
101-110 km	52.88	44.18	36.78	29.38	27.86
111-120 km	57.02	47.44	39.6	31.76	30.02
121-130 km	61.14	50.92	42.44	33.94	32.2
131-140 km	65.28	54.4	45.26	36.12	34.38
141-150 km	69.2	57.66	48.08	38.52	36.56
151-160 km	73.34	61.14	50.92	40.7	38.74
161-170 km	77.46	64.4	53.74	43.08	40.9
171-180 km	81.38	67.9	56.58	45.26	43.08
181-190 km	85.52	71.38	59.4	47.44	45.04
191-200 km	89.66	74.64	62.24	49.84	47.22
201-210 km	93.78	78.12	65.06	52.0	49.4
211-220 km	98.14	81.82	68.1	54.4	51.78
221-230 km	102.28	85.3	71.16	56.8	53.96
231-240 km	106.62	88.78	73.98	59.18	56.36
241-250 km	110.98	92.48	77.04	61.58	58.54
251-260 km	115.12	95.96	80.08	63.98	60.72
261-270 km	119.46	99.44	82.9	66.36	63.1
271-280 km	123.82	103.14	85.96	68.76	65.28
281-290 km	127.94	106.62	89.0	71.16	67.46
291-300 km	132.3	110.32	91.82	73.54	69.84
301-310 km	136.44	113.8	94.88	75.72	72.02
311-320 km	140.56	117.06	97.7	78.12	74.2
321-330 km	144.7	120.56	100.54	80.3	76.38
331-340 km	148.62	123.82	103.36	82.68	78.56
341-350 km	152.76	127.3	106.18	84.86	80.72
351-360 km	156.88	130.78	109.02	87.04	82.68
361-370 km	160.8	134.04	111.84	89.44	84.86
371-380 km	164.94	137.52	114.68	91.6	87.04
381-390 km	169.08	140.78	117.5	94.0	89.22
391-400 km	173.2	144.26	120.34	96.18	91.4
411-420 km	181.04	150.8	125.78	100.54	95.52
421-430 km	184.74	154.06	128.38	102.7	97.48
431-440 km	188.66	157.32	131.0	104.88	99.66
441-450 km	192.58	160.38	133.82	107.06	101.62
451-460 km	196.5	163.64	136.44	109.24	103.58
461-470 km	200.4	166.9	139.04	111.2	105.76
471-480 km	204.1	170.16	141.88	113.36	107.72
481-490 km	208.02	173.42	144.48	115.54	109.88
491-500 km	211.94	176.7	147.1	117.72	111.84
501-510 km	215.64	179.74	149.7	119.9	113.8
511-520 km	219.34	182.78	152.32	121.86	115.76
521-530 km	223.04	185.84	154.94	123.82	117.72
531-540 km	226.74	188.88	157.32	126.0	119.68
541-550 km	230.44	191.92	159.94	127.94	121.64
551-560 km	233.92	194.96	162.54	129.9	123.6
561-570 km	237.62	198.02	165.16	132.08	125.34
571-580 km	241.32	201.06	167.56	134.04	127.3
581-590 km	245.02	204.1	170.16	136.22	129.26
591-600 km	248.72	207.16	172.78	138.18	131.22
601-610 km	252.42	210.42	175.38	140.14	133.18
611-620 km	256.34	213.46	178.0	142.32	135.34
621-630 km	260.04	216.72	180.6	144.48	137.3
631-640 km	263.94	220.0	183.22	146.66	139.26
641-650 km	267.64	223.04	185.84	148.62	141.22
651-660 km	271.56	226.3	188.66	150.8	143.4
661-670 km	275.26	229.36	191.28	152.98	145.36
671-680 km	279.18	232.62	193.88	155.14	147.32
681-690 km	282.88	235.88	196.5	157.1	149.28
691-700 km	286.8	238.92	199.1	159.28	151.44
701-710 km	290.28	241.98	201.72	161.24	153.2
711-720 km	293.76	244.8	203.9	163.2	154.94
721-730 km	297.02	247.42	206.28	164.94	156.68
731-740 km	300.28	250.24	208.46	166.9	158.42
741-750 km	303.56	253.06	210.86	168.64	160.16
751-760 km	306.82	255.68	213.04	170.6	161.9
761-770 km	310.3	258.5	215.42	172.34	163.64
771-780 km	313.56	261.34	217.82	174.08	165.38
781-790 km	316.82	263.94	220.0	176.04	167.12
791-800 km	320.1	266.78	222.38	177.78	169.08
801-810 km	323.36	269.38	224.56	179.74	170.6
811-820 km	326.62	272.0	226.74	181.26	172.34
821-830 km	329.88	274.62	228.92	183.0	173.86
831-840 km	333.14	277.22	231.1	184.74	175.6
841-850 km	335.76	279.84	233.26	186.48	177.12
851-860 km	338.8	282.44	235.44	188.22	178.86
861-870 km	342.06	285.06	237.4	189.96	180.4
871-880 km	345.12	287.66	239.58	191.7	182.14
881-890 km	348.16	290.28	241.76	193.44	183.88
891-900 km	351.2	292.68	243.92	195.18	185.4
901-910 km	354.26	295.28	246.1	196.92	186.92
911-920 km	357.3	297.68	248.06	198.46	188.44
921-930 km	360.12	300.08	250.02	199.98	189.96
931-940 km	362.96	302.46	252.2	201.72	191.48
941-950 km	366.0	304.86	254.16	203.24	193.22
951-960 km	368.84	307.26	256.12	204.98	194.76
961-970 km	371.66	309.86	258.08	206.5	196.28
971-980 km	374.7	312.26	260.24	208.02	197.8
981-990 km	377.54	314.64	262.2	209.76	199.32
991-1000 km	380.36	317.04	264.16	211.28	200.84
