Təhlükəli_yük_adı | BMT_№ | BDYS_2_adı | Sinif | Tətbiq_tipi
Akvanit | 2927 | Üzvi zəhərli korroziyaedici maye,konkret göstərilməmiş | 6.1 | ortulu_konteyner
Ammonium perxlorat | 1442 | Ammonium perxlorat | 5.1 | ortulu_konteyner
Barium sianid | 1565 | Barium sianid | 6.1 | ortulu_konteyner
Vinil | 3161 | Alışan maye qaz konkret göstərilməmiş | 2 | cen
Hidrogen peroksid (sabitləşdirilmiş >70%) | 2015 | Hidrogen peroksid sabitləşdirilmiş | 5.1 | hamisi
Hidrogen peroksid (60-70%) | 2015 | Hidrogen peroksid su məhlulu | 5.1 | ortulu_konteyner
Heptil | 3286 | Tezalışan zəhərli korroziya edici maye | 3 | hamisi
Qeyri-simmetrik dimetil hidrozin | 1163 | Qeyri-simmetrik dimetil hidrozin | 6.1 | hamisi
Diran A | 1992 | Tezalışan zəhərli maye | 3 | ortulu_konteyner
İZOPROPİLNİTRAT | 1222 | İZOPROPİLNİTRAT | 3 | ortulu_konteyner
Kadmium sianid | 1588 | Qeyri-üzvi bərk sianidlər | 6.1 | ortulu_konteyner
Bərk kalium sianid | 1680 | Bərk kalium sianid | 6.1 | ortulu_konteyner
Kalium sianid məhlulu | 3413 | Kalium sianid məhlulu | 6.1 | ortulu_konteyner
Kalium sianid | 1575 | Kalium sianid | 6.1 | ortulu_konteyner
SN Katalizator | 2813 | Su ilə reaksiyaya girən bərk maddə | 4.3 | ortulu_konteyner
Tüstülənən qırmızı azot turşusu | 2032 | Tüstülənən qırmızı azot turşusu | 8 | hamisi
Hidrogen sionid su məhlulu (<20%) | 1613 | Hidrogen sionid su məhlulu | 6.1 | ortulu_konteyner
Luminal A | 0000 | Tezalışan zəhərli korroziyaedici maye | 3 | ortulu_konteyner
Mis sianid | 1587 | Mis sianid | 6.1 | ortulu_konteyner
METANOL | 1230 | METANOL | 3 | cen
Arsen trioksid | 1561 | Arsen trioksid | 6.1 | ortulu_konteyner
Natrium sionid, bərk | 1689 | Natrium sionid, bərk | 6.1 | ortulu_konteyner
Natrium sionid, maye | 3414 | Natrium sionid, maye | 6.1 | ortulu_konteyner
Kimyəvi zəhərli nümunə | 3315 | Kimyəvi zəhərli nümunə | 6.1 | ortulu_konteyner
Mühərrik yanacağına antidetonasiya əlavəsi | 3483 | Antidetonasiya əlavəsi tezalışan | 6.1 | ortulu_konteyner
T-185 məhsulu | 1993 | Tezalışan maye | 3 | hamisi
Pronit | 2810 | Üzvi zəhərli maye | 6.1 | ortulu_konteyner
Desilin həlledicisi | 1992 | Tezalışan maye | 3 | ortulu_konteyner
Civə dixlorid | 1624 | Civə dixlorid | 6.1 | ortulu_konteyner
Sabitləşdirilmiş civə (II) oksianid | 1642 | Sabitləşdirilmiş civə (II) oksianid | 6.1 | ortulu_konteyner
Civə (II) sianid | 1636 | Civə (II) sianid | 6.1 | ortulu_konteyner
Civə (II) sulfidi | 2025 | Bərk civə birləşməsi | 6.1 | ortulu_konteyner
Samin | 1992 | Tezalışan zəhərli maye | 3 | hamisi
Sintin | 1992 | Tezalışan zəhərli maye | 3 | hamisi
Qurğuşun sianid | 1620 | Qurğuşun sianid | 6.1 | ortulu_konteyner
Gümüş sianid | 1684 | Gümüş sianid | 6.1 | ortulu_konteyner
Strixnin və ya strixnin duzu | 1692 | Strixnin və ya strixnin duzu | 6.1 | ortulu_konteyner
FOSQEN | 1076 | FOSQEN | 2 | hamisi
Ağ sarı fosfor (su altında/məhlulda) | 1381 | Ağ sarı fosfor | 4.2 | cen
Qurğu ağ (sarı) fosfor | 1381 | Qurğu ağ (sarı) fosfor | 4.2 | cen
Əridilmiş ağ yaxud sarı fosfor | 2447 | Əridilmiş ağ yaxud sarı fosfor | 4.2 | cen
XLOR | 1017 | XLOR | 2 | cen
Sabitləşdirilmiş XLORTSİAN | 1589 | Sabitləşdirilmiş XLORTSİAN | 2 | ortulu_konteyner
SİANİPLAV | 1588 | Qeyri-üzvi SİANİDlər | 4.2 | ortulu_konteyner
SİANİD məhlulu | 1935 | SİANİD məhlulu | 6.1 | ortulu_konteyner
SİNK SİANİD | 1713 | SİNK SİANİD | 6.1 | ortulu_konteyner
Sinxonin | 1544 | Bərk alkaloidlər | 6.1 | ortulu_konteyner
Enit | 2810 | Zəhərli üzvü maye | 6.1 | ortulu_konteyner
Soyudulmuş maye etilen | 1038 | Soyudulmuş maye etilen | 2 | cen
Azot oksidin və diazot tetraoksidin qarışığı | 1975 | Azot oksidi və nitrogen dioksid | 2 | ortulu_konteyner
Sabitləşdirilmiş Akrolein | 1092 | Sabitləşdirilmiş Akrolein | 6.1 | cen
ALLİLAMİN | 2334 | ALLİLAMİN | 6.1 | cen
Sabitləşdirilmiş Vinilpirdin | 3073 | Sabitləşdirilmiş Vinilpirdin | 6.1 | cen
Sabitləşdirilmiş hidrogen sionid (<3% su) | 1051 | Sabitləşdirilmiş hidrogen sionid | 6.1 | ortulu_konteyner
