### CƏDVAL 3 — Universal vaqonlarda İDXAL və İXRAC daşınan yüklərin tarif qiymətləri (İsveçrə frankı ilə 1 tonun qiyməti)

| Məsafə, km | 10 t (12 t qədər) | 15 t (13t-16t) | 20 t (17t-23t) | 25 t (24t-26t) | 30 t (27t-31t) | 35 t (32t-36t) | 40 t (37t-40t) | 45 t (41t-46t) | 50 t (47t-54t) | 60 t (55t-64t) | 70 t (65t və çох) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **1-10** | 0.98 | 0.78 | 0.68 | 0.59 | 0.54 | 0.49 | 0.44 | 0.40 | 0.35 | 0.30 | 0.25 |
| **11-20** | 2.84 | 2.35 | 1.96 | 1.86 | 1.74 | 1.55 | 1.40 | 1.27 | 1.14 | 0.98 | 0.81 |
| **21-30** | 4.80 | 4.01 | 3.23 | 3.03 | 2.82 | 2.52 | 2.28 | 2.06 | 1.85 | 1.58 | 1.31 |
| **31-40** | 6.66 | 5.58 | 4.50 | 4.21 | 3.92 | 3.49 | 3.16 | 2.86 | 2.56 | 2.19 | 1.81 |
| **41-50** | 8.61 | 7.15 | 5.78 | 5.48 | 5.09 | 4.55 | 4.11 | 3.73 | 3.34 | 2.86 | 2.37 |
| **51-60** | 10.48 | 8.71 | 7.05 | 6.66 | 6.19 | 5.53 | 5.00 | 4.53 | 4.06 | 3.47 | 2.87 |
| **61-70** | 12.44 | 10.38 | 8.33 | 7.83 | 7.28 | 6.50 | 5.88 | 5.33 | 4.77 | 4.08 | 3.37 |
| **71-80** | 14.29 | 11.94 | 9.59 | 9.11 | 8.47 | 7.56 | 6.83 | 6.19 | 5.54 | 4.74 | 3.92 |
| **81-90** | 16.25 | 13.51 | 10.87 | 10.28 | 9.56 | 8.53 | 7.71 | 6.99 | 6.25 | 5.35 | 4.42 |
| **91-100** | 18.12 | 15.08 | 12.14 | 11.46 | 10.66 | 9.51 | 8.60 | 7.79 | 6.97 | 5.96 | 4.92 |
| **101-110** | 19.88 | 16.55 | 13.22 | 12.54 | 11.66 | 10.40 | 9.41 | 8.52 | 7.62 | 6.52 | 5.39 |
| **111-120** | 21.35 | 17.82 | 14.29 | 13.51 | 12.56 | 11.21 | 10.13 | 9.19 | 8.21 | 7.03 | 5.81 |
| **121-130** | 22.91 | 19.10 | 15.27 | 14.49 | 13.47 | 12.02 | 10.87 | 9.86 | 8.81 | 7.54 | 6.23 |
| **131-140** | 24.48 | 20.37 | 16.25 | 15.47 | 14.39 | 12.84 | 11.60 | 10.52 | 9.41 | 8.05 | 6.65 |
| **141-150** | 25.95 | 21.64 | 17.33 | 16.45 | 15.30 | 13.65 | 12.34 | 11.19 | 10.00 | 8.56 | 7.07 |
| **151-160** | 27.51 | 22.91 | 18.32 | 17.43 | 16.21 | 14.47 | 13.08 | 11.85 | 10.60 | 9.07 | 7.49 |
| **161-170** | 28.98 | 24.18 | 19.39 | 18.41 | 17.12 | 15.27 | 13.81 | 12.52 | 11.19 | 9.58 | 7.91 |
| **171-180** | 30.56 | 25.46 | 20.37 | 19.39 | 18.03 | 16.09 | 14.54 | 13.19 | 11.79 | 10.09 | 8.33 |
| **181-190** | 32.12 | 26.73 | 21.35 | 20.27 | 18.85 | 16.82 | 15.20 | 13.78 | 12.32 | 10.54 | 8.71 |
| **191-200** | 33.59 | 28.01 | 22.43 | 21.25 | 19.76 | 17.64 | 15.94 | 14.45 | 12.91 | 11.05 | 9.13 |
| **201-210** | 34.65 | 28.87 | 23.09 | 21.92 | 20.39 | 18.19 | 16.43 | 14.90 | 13.31 | 11.39 | 9.41 |
| **211-220** | 35.73 | 29.76 | 23.76 | 22.58 | 21.01 | 18.73 | 16.92 | 15.34 | 13.70 | 11.73 | 9.69 |
| **221-230** | 36.80 | 30.64 | 24.43 | 23.24 | 21.62 | 19.28 | 17.41 | 15.79 | 14.10 | 12.07 | 9.97 |
| **231-240** | 37.87 | 31.53 | 25.10 | 23.90 | 22.24 | 19.82 | 17.90 | 16.23 | 14.49 | 12.41 | 10.25 |
| **241-250** | 38.94 | 32.41 | 25.77 | 24.56 | 22.85 | 20.37 | 18.39 | 16.68 | 14.89 | 12.75 | 10.53 |
