### CƏDVAL 4 — Universal vaqonlarda TRANZİT daşınan yüklərin tarif qiymətləri (İsveçrə frankı ilə 1 tonun qiyməti)

| Məsafə, km | 10 t (12 t qədər) | 15 t (13t-16t) | 20 t (17t-23t) | 25 t (24t-26t) | 30 t (27t-31t) | 35 t (32t-36t) | 40 t (37t-40t) | 45 t (41t-46t) | 50 t (47t-54t) | 60 t (55t-64t) | 70 t (65t və çох) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **1-10** | 0.59 | 0.47 | 0.41 | 0.35 | 0.32 | 0.29 | 0.26 | 0.24 | 0.21 | 0.18 | 0.15 |
| **11-20** | 1.70 | 1.41 | 1.18 | 1.12 | 1.04 | 0.93 | 0.84 | 0.76 | 0.68 | 0.59 | 0.49 |
| **21-30** | 2.88 | 2.41 | 1.94 | 1.82 | 1.69 | 1.51 | 1.37 | 1.24 | 1.11 | 0.95 | 0.79 |
| **31-40** | 4.00 | 3.35 | 2.70 | 2.53 | 2.35 | 2.09 | 1.90 | 1.72 | 1.54 | 1.31 | 1.09 |
| **41-50** | 5.17 | 4.29 | 3.47 | 3.29 | 3.05 | 2.73 | 2.47 | 2.24 | 2.00 | 1.72 | 1.42 |
| **51-60** | 6.29 | 5.23 | 4.23 | 4.00 | 3.71 | 3.32 | 3.00 | 2.72 | 2.44 | 2.08 | 1.72 |
| **61-70** | 7.46 | 6.23 | 5.00 | 4.70 | 4.37 | 3.90 | 3.53 | 3.20 | 2.86 | 2.45 | 2.02 |
| **71-80** | 8.57 | 7.16 | 5.75 | 5.47 | 5.08 | 4.54 | 4.10 | 3.71 | 3.32 | 2.84 | 2.35 |
| **81-90** | 9.75 | 8.11 | 6.52 | 6.17 | 5.74 | 5.12 | 4.63 | 4.19 | 3.75 | 3.21 | 2.65 |
| **91-100** | 10.87 | 9.05 | 7.28 | 6.88 | 6.40 | 5.71 | 5.16 | 4.67 | 4.18 | 3.58 | 2.95 |
| **101-110** | 11.93 | 9.93 | 7.93 | 7.52 | 7.00 | 6.24 | 5.65 | 5.11 | 4.57 | 3.91 | 3.23 |
| **111-120** | 12.81 | 10.69 | 8.57 | 8.11 | 7.54 | 6.73 | 6.08 | 5.51 | 4.93 | 4.22 | 3.49 |
| **121-130** | 13.75 | 11.46 | 9.16 | 8.69 | 8.08 | 7.21 | 6.52 | 5.92 | 5.29 | 4.52 | 3.74 |
| **131-140** | 14.69 | 12.22 | 9.75 | 9.28 | 8.63 | 7.70 | 6.96 | 6.31 | 5.65 | 4.83 | 3.99 |
| **141-150** | 15.57 | 12.98 | 10.40 | 9.87 | 9.18 | 8.19 | 7.40 | 6.71 | 6.00 | 5.14 | 4.24 |
| **151-160** | 16.51 | 13.75 | 10.99 | 10.46 | 9.73 | 8.68 | 7.85 | 7.11 | 6.36 | 5.44 | 4.49 |
| **161-170** | 17.39 | 14.51 | 11.63 | 11.05 | 10.27 | 9.16 | 8.29 | 7.51 | 6.71 | 5.75 | 4.75 |
| **171-180** | 18.34 | 15.28 | 12.22 | 11.63 | 10.82 | 9.65 | 8.72 | 7.91 | 7.07 | 6.05 | 5.00 |
| **181-190** | 19.27 | 16.04 | 12.81 | 12.16 | 11.31 | 10.09 | 9.12 | 8.27 | 7.39 | 6.32 | 5.23 |
| **191-200** | 20.15 | 16.81 | 13.46 | 12.75 | 11.86 | 10.58 | 9.56 | 8.67 | 7.75 | 6.63 | 5.48 |
| **201-210** | 20.79 | 17.32 | 13.85 | 13.15 | 12.23 | 10.91 | 9.86 | 8.94 | 7.99 | 6.83 | 5.65 |
| **211-220** | 21.44 | 17.86 | 14.26 | 13.55 | 12.61 | 11.24 | 10.15 | 9.20 | 8.22 | 7.04 | 5.81 |
| **221-230** | 22.08 | 18.38 | 14.66 | 13.94 | 12.97 | 11.57 | 10.45 | 9.47 | 8.46 | 7.24 | 5.98 |
| **231-240** | 22.72 | 18.92 | 15.06 | 14.34 | 13.34 | 11.89 | 10.74 | 9.74 | 8.69 | 7.45 | 6.15 |
| **241-250** | 23.36 | 19.45 | 15.46 | 14.74 | 13.71 | 12.22 | 11.03 | 10.01 | 8.93 | 7.65 | 6.32 |
