### CƏDVAL 5 — Xüsusi tipli vaqonlarda (refreqirator, termos, avtovoz) daşınan yüklərin tarif qiymətləri (İsveçrə frankı ilə)

| Məsafə, km | Ref. seksiya [1+1] (1 t üçün) | Ref. seksiya [1+2] / [2+1] (1 t üçün) | Ref. seksiya [1+3] / [3+1] (1 t üçün) | Ref. seksiya [1+4] / [4+1] (1 t üçün) | Ref. seksiya [1+5] və çox (1 t üçün) | Avtovozlar (Table 5 col 6) (1 vaqon üçün) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **1-10** | 1.67 | 1.37 | 1.08 | 0.98 | 0.83 | 12.50 |
| **11-20** | 4.83 | 3.98 | 3.12 | 2.84 | 2.41 | 35.80 |
| **21-30** | 8.16 | 6.72 | 5.28 | 4.80 | 4.08 | 60.50 |
| **31-40** | 11.32 | 9.32 | 7.33 | 6.66 | 5.66 | 84.10 |
| **41-50** | 14.64 | 12.05 | 9.47 | 8.61 | 7.32 | 108.70 |
| **51-60** | 17.82 | 14.67 | 11.53 | 10.48 | 8.91 | 132.30 |
| **61-70** | 21.15 | 17.42 | 13.68 | 12.44 | 10.58 | 156.90 |
| **71-80** | 24.29 | 20.01 | 15.72 | 14.29 | 12.15 | 180.50 |
| **81-90** | 27.63 | 22.75 | 17.88 | 16.25 | 13.82 | 205.10 |
| **91-100** | 30.80 | 25.37 | 19.93 | 18.12 | 15.40 | 228.70 |
| **101-110** | 33.80 | 27.83 | 21.87 | 19.88 | 16.90 | 251.00 |
| **111-120** | 36.30 | 29.89 | 23.49 | 21.35 | 18.15 | 269.50 |
| **121-130** | 38.95 | 32.07 | 25.20 | 22.91 | 19.48 | 289.20 |
| **131-140** | 41.62 | 34.27 | 26.93 | 24.48 | 20.81 | 309.00 |
| **141-150** | 44.12 | 36.33 | 28.55 | 25.95 | 22.06 | 327.50 |
| **151-160** | 46.77 | 38.51 | 30.26 | 27.51 | 23.39 | 347.20 |
| **161-170** | 49.27 | 40.57 | 31.88 | 28.98 | 24.64 | 365.70 |
| **171-180** | 51.95 | 42.78 | 33.62 | 30.56 | 25.98 | 385.60 |
| **181-190** | 54.60 | 44.97 | 35.33 | 32.12 | 27.30 | 405.30 |
| **191-200** | 57.10 | 47.03 | 36.95 | 33.59 | 28.55 | 423.80 |
| **201-210** | 58.91 | 48.51 | 38.12 | 34.65 | 29.45 | 437.20 |
| **211-220** | 60.74 | 50.02 | 39.30 | 35.73 | 30.37 | 450.80 |
| **221-230** | 62.56 | 51.52 | 40.48 | 36.80 | 31.28 | 464.30 |
| **231-240** | 64.38 | 53.02 | 41.66 | 37.87 | 32.19 | 477.80 |
| **241-250** | 66.20 | 54.52 | 42.83 | 38.94 | 33.10 | 491.30 |
