================================================================================
CƏDVƏL 6 / ТАБЛИЦА 6 / TABLE 6
Çəndə və bunker yarımvaqonlarda daşınan maye yüklərin tarif qiymətləri
(İsveçrə frankı ilə 1 ton yüklün qiyməti / Тарифные ставки в CHF за 1 тонну)
================================================================================
Колонки:
1: Məsafə, km
2: Neft və neft məhsulları (GNG 27090010, 27090090, 2710, 2712, 2713, 27149000, 2715, 340319, 340399, 3404, 381121, 381129, 38170050, 38241000)
3: Enerjili qazlar (GNG 2705, 2711)
4: Qazlar və karbohidrogenlər (GNG 27071-27075, 27079920, 28011, 28013000, 28013010, 28041-28044, 28112100, 28121100, 28141, 28539030, 2901, 2902, 29321200, 29333100, 29333955, 3817)
5: Spirt və fenollar (GNG 1520, 270779980, 2905-2908, 29094100, 29321300, 3820, 38237, 3826, 39053)
6: Tez xarab olan yüklər (GNG 0401, 04032000-04032039, 04039091-04039099, 04041000, 04041048-04049089, 0405, 0406, 1501-1506, 15161000-15161090, 151790, 15180091-15180099, 2009, 2105, 2201-2206)
7: Digər yüklər (Прочие наливные грузы)
8: Özəl çənlər / Karbohidrogenlər (GNG 27071-27073, 290211, 29022, 29023, 290241-290244, 29026, 29027, 29029)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8
1-10 | 0.65 | 0.46 | 0.65 | 0.49 | 0.46 | 0.39 | 0.46
11-20 | 2.07 | 1.45 | 2.07 | 1.55 | 1.45 | 1.24 | 1.45
21-30 | 3.37 | 2.36 | 3.37 | 2.53 | 2.36 | 2.02 | 2.36
31-40 | 4.68 | 3.28 | 4.68 | 3.51 | 3.28 | 2.81 | 3.28
41-50 | 6.09 | 4.26 | 6.09 | 4.57 | 4.26 | 3.65 | 4.26
51-60 | 7.40 | 5.18 | 7.40 | 5.55 | 5.18 | 4.44 | 5.18
61-70 | 8.70 | 6.09 | 8.70 | 6.53 | 6.09 | 5.22 | 6.09
71-80 | 10.12 | 7.08 | 10.12 | 7.59 | 7.08 | 6.07 | 7.08
81-90 | 11.42 | 7.99 | 11.42 | 8.57 | 7.99 | 6.85 | 7.99
91-100 | 12.73 | 8.91 | 12.73 | 9.55 | 8.91 | 7.64 | 8.91
101-110 | 9.75 | 9.75 | 13.93 | 10.45 | 9.75 | 8.36 | 9.75
111-120 | 10.51 | 10.51 | 15.01 | 11.26 | 10.51 | 9.01 | 10.51
121-130 | 11.27 | 11.27 | 16.10 | 12.08 | 11.27 | 9.66 | 11.27
131-140 | 12.03 | 12.03 | 17.19 | 12.89 | 12.03 | 10.31 | 12.03
141-150 | 12.80 | 12.80 | 18.28 | 13.71 | 12.80 | 10.97 | 12.80
151-160 | 13.56 | 13.56 | 19.37 | 14.53 | 13.56 | 11.62 | 13.56
161-170 | 14.32 | 14.32 | 20.45 | 15.34 | 14.32 | 12.27 | 14.32
171-180 | 15.08 | 15.08 | 21.54 | 16.16 | 15.08 | 12.92 | 15.08
181-190 | 15.76 | 15.76 | 22.52 | 16.89 | 15.76 | 13.51 | 15.76
191-200 | 16.53 | 16.53 | 23.61 | 17.71 | 16.53 | 14.17 | 16.53
201-210 | 16.91 | 17.29 | 24.70 | 18.53 | 17.29 | 14.82 | 17.29
211-220 | 17.33 | 18.12 | 25.89 | 19.42 | 18.12 | 15.53 | 18.12
221-230 | 17.71 | 18.89 | 26.98 | 20.24 | 18.89 | 16.19 | 18.89
231-240 | 18.13 | 19.73 | 28.18 | 21.14 | 19.73 | 16.91 | 19.73
241-250 | 18.51 | 20.49 | 29.27 | 21.95 | 20.49 | 17.56 | 20.49
251-260 | 18.89 | 21.25 | 30.36 | 22.77 | 21.25 | 18.22 | 21.25
261-270 | 19.31 | 22.09 | 31.55 | 23.66 | 22.09 | 18.93 | 22.09
271-280 | 19.69 | 22.85 | 32.64 | 24.48 | 22.85 | 19.58 | 22.85
281-290 | 20.07 | 23.61 | 33.73 | 25.30 | 23.61 | 20.24 | 23.61
291-300 | 20.49 | 24.44 | 34.92 | 26.19 | 24.44 | 20.95 | 24.44
301-310 | 12.22 | 25.21 | 36.01 | 27.01 | 25.21 | 21.61 | 25.21
311-320 | 12.45 | 25.97 | 37.10 | 27.83 | 25.97 | 22.26 | 25.97
321-330 | 12.67 | 26.73 | 38.19 | 28.64 | 26.73 | 22.91 | 26.73
331-340 | 12.89 | 27.50 | 39.28 | 29.46 | 27.50 | 23.57 | 27.50
341-350 | 13.12 | 28.25 | 40.36 | 30.27 | 28.25 | 24.22 | 28.25
351-360 | 13.32 | 28.94 | 41.34 | 31.01 | 28.94 | 24.80 | 28.94
361-370 | 13.54 | 29.70 | 42.43 | 31.82 | 29.70 | 25.46 | 29.70
371-380 | 13.76 | 30.46 | 43.52 | 32.64 | 30.46 | 26.11 | 30.46
381-390 | 13.99 | 31.23 | 44.61 | 33.46 | 31.23 | 26.77 | 31.23
391-400 | 14.21 | 31.99 | 45.70 | 34.28 | 31.99 | 27.42 | 31.99
401-410 | 14.43 | 32.75 | 46.78 | 35.09 | 32.75 | 28.07 | 32.75
411-420 | 14.63 | 33.43 | 47.76 | 35.82 | 33.43 | 28.66 | 33.43
421-430 | 14.83 | 36.51 | 48.74 | 39.11 | 36.51 | 31.58 | 36.51
431-440 | 15.06 | 34.88 | 49.83 | 37.37 | 34.88 | 29.90 | 34.88
441-450 | 15.26 | 35.57 | 50.81 | 38.11 | 35.57 | 30.49 | 35.57
451-460 | 15.46 | 36.25 | 51.79 | 38.84 | 36.25 | 31.07 | 36.25
461-470 | 15.68 | 37.02 | 52.88 | 39.66 | 37.02 | 31.73 | 37.02
471-480 | 15.88 | 37.70 | 53.86 | 40.40 | 37.70 | 32.32 | 37.70
481-490 | 16.10 | 38.46 | 54.94 | 41.21 | 38.46 | 32.96 | 38.46
491-500 | 16.31 | 39.14 | 55.92 | 41.94 | 39.14 | 33.55 | 39.14
501-510 | 17.07 | 39.83 | 56.90 | 42.68 | 39.83 | 34.14 | 39.83
511-520 | 17.28 | 40.52 | 57.88 | 43.41 | 40.52 | 34.73 | 40.52
521-530 | 17.49 | 41.20 | 58.86 | 44.15 | 41.20 | 35.32 | 41.20
531-540 | 17.99 | 41.89 | 59.84 | 44.88 | 41.89 | 35.90 | 41.89
541-550 | 18.20 | 42.57 | 60.82 | 45.62 | 42.57 | 36.49 | 42.57
551-560 | 18.41 | 43.26 | 61.80 | 46.35 | 43.26 | 37.08 | 43.26
561-570 | 18.59 | 43.87 | 62.67 | 47.00 | 43.87 | 37.60 | 43.87
571-580 | 18.80 | 44.56 | 63.65 | 47.74 | 44.56 | 38.19 | 44.56
581-590 | 19.02 | 45.24 | 64.63 | 48.47 | 45.24 | 38.78 | 45.24
591-600 | 19.23 | 45.93 | 65.61 | 49.21 | 45.93 | 39.37 | 45.93
601-610 | 20.52 | 46.61 | 66.59 | 49.94 | 46.61 | 39.95 | 46.61
611-620 | 20.77 | 47.37 | 67.67 | 50.75 | 47.37 | 40.60 | 47.37
621-630 | 20.99 | 48.06 | 68.65 | 51.49 | 48.06 | 41.19 | 48.06
631-640 | 21.21 | 48.74 | 69.63 | 52.22 | 48.74 | 41.78 | 48.74
