### CƏDVAL 7 — BTT (Baza Tarif Qiymətləri) daşınan yüklərin tarif qiymətləri (İsveçrə frankı ilə 1 tonun qiyməti)

| Məsafə, km | 10 t kateqoriyası | 15 t kateqoriyası | 20 t kateqoriyası | 25 t kateqoriyası | 30 t kateqoriyası | 35 t kateqoriyası | 40 t kateqoriyası | 45 t kateqoriyası | 50 t kateqoriyası | 60 t kateqoriyası |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **1-10** | 0.85 | 0.68 | 0.59 | 0.51 | 0.47 | 0.43 | 0.38 | 0.35 | 0.31 | 0.26 |
| **11-20** | 2.47 | 2.04 | 1.71 | 1.62 | 1.51 | 1.35 | 1.22 | 1.11 | 0.99 | 0.85 |
| **21-30** | 4.18 | 3.49 | 2.81 | 2.64 | 2.45 | 2.19 | 1.98 | 1.79 | 1.61 | 1.38 |
| **31-40** | 5.80 | 4.85 | 3.92 | 3.66 | 3.41 | 3.04 | 2.75 | 2.49 | 2.23 | 1.91 |
| **41-50** | 7.50 | 6.22 | 5.03 | 4.77 | 4.43 | 3.96 | 3.58 | 3.25 | 2.91 | 2.49 |
| **51-60** | 9.12 | 7.58 | 6.13 | 5.79 | 5.39 | 4.81 | 4.35 | 3.94 | 3.53 | 3.02 |
| **61-70** | 10.83 | 9.03 | 7.25 | 6.81 | 6.33 | 5.66 | 5.12 | 4.64 | 4.15 | 3.55 |
| **71-80** | 12.44 | 10.39 | 8.34 | 7.92 | 7.37 | 6.58 | 5.94 | 5.39 | 4.82 | 4.13 |
| **81-90** | 14.15 | 11.76 | 9.46 | 8.95 | 8.32 | 7.42 | 6.71 | 6.09 | 5.44 | 4.66 |
| **91-100** | 15.78 | 13.13 | 10.57 | 9.98 | 9.28 | 8.28 | 7.49 | 6.78 | 6.07 | 5.19 |
| **101-110** | 17.31 | 14.41 | 11.51 | 10.92 | 10.15 | 9.05 | 8.19 | 7.41 | 6.63 | 5.68 |
| **111-120** | 18.59 | 15.52 | 12.44 | 11.76 | 10.93 | 9.76 | 8.82 | 8.00 | 7.15 | 6.12 |
| **121-130** | 19.95 | 16.63 | 13.29 | 12.61 | 11.72 | 10.46 | 9.46 | 8.58 | 7.67 | 6.56 |
| **131-140** | 21.31 | 17.74 | 14.15 | 13.47 | 12.52 | 11.18 | 10.10 | 9.16 | 8.19 | 7.01 |
| **141-150** | 22.59 | 18.84 | 15.08 | 14.32 | 13.32 | 11.88 | 10.74 | 9.74 | 8.70 | 7.45 |
| **151-160** | 23.95 | 19.95 | 15.95 | 15.17 | 14.11 | 12.59 | 11.38 | 10.31 | 9.22 | 7.89 |
| **161-170** | 25.23 | 21.05 | 16.88 | 16.03 | 14.90 | 13.29 | 12.02 | 10.89 | 9.74 | 8.34 |
| **171-180** | 26.61 | 22.17 | 17.74 | 16.88 | 15.70 | 14.00 | 12.66 | 11.48 | 10.26 | 8.78 |
| **181-190** | 27.97 | 23.27 | 18.59 | 17.65 | 16.41 | 14.64 | 13.23 | 11.99 | 10.72 | 9.17 |
| **191-200** | 29.25 | 24.38 | 19.53 | 18.50 | 17.20 | 15.35 | 13.87 | 12.58 | 11.24 | 9.62 |
| **201-210** | 30.17 | 25.13 | 20.10 | 19.08 | 17.75 | 15.83 | 14.30 | 12.97 | 11.59 | 9.92 |
| **211-220** | 31.11 | 25.91 | 20.68 | 19.65 | 18.29 | 16.30 | 14.73 | 13.35 | 11.93 | 10.21 |
| **221-230** | 32.04 | 26.68 | 21.27 | 20.23 | 18.82 | 16.78 | 15.15 | 13.74 | 12.27 | 10.51 |
| **231-240** | 32.97 | 27.45 | 21.85 | 20.80 | 19.36 | 17.25 | 15.58 | 14.13 | 12.61 | 10.80 |
| **241-250** | 33.90 | 28.22 | 22.43 | 21.38 | 19.89 | 17.73 | 16.01 | 14.52 | 12.96 | 11.10 |
