Mesafa_km	Ort_Yuklu_3t	Ort_Yuklu_5t	Ort_Bos_3t	Ort_Bos_5t	Ir_Inv_Yuk_10fut	Ir_Inv_Yuk_20fut	Ir_Inv_Yuk_30fut	Ir_Inv_Yuk_40fut	Ir_Inv_Yuk_45fut	Ir_Ozal_Bos_10fut	Ir_Ozal_Bos_20fut	Ir_Ozal_Bos_30fut	Ir_Ozal_Bos_40fut	Ir_Ozal_Bos_45fut
1-10 km	2	4	1	2	5	10	13	17	20	2	4	7	9	11
11-20 km	5	11	3	5	14	28	40	51	61	8	14	20	26	31
21-30 km	10	20	4	10	24	48	66	86	103	12	24	34	42	50
31-40 km	13	26	7	13	34	66	94	120	144	17	34	47	60	72
41-50 km	17	35	9	17	44	86	120	154	185	22	42	60	77	92
51-60 km	21	41	11	21	52	104	147	188	226	26	52	73	95	114
61-70 km	25	50	12	25	62	124	173	223	268	32	62	87	111	133
71-80 km	28	57	14	28	72	143	200	257	308	36	72	100	128	154
81-90 km	33	65	16	33	82	162	226	292	350	40	81	113	146	175
91-100 km	36	72	18	36	90	181	254	325	390	46	90	126	163	196
101-110 km	40	81	20	40	100	200	280	360	432	50	100	140	180	216
111-120 km	44	87	22	44	110	219	307	394	473	55	110	153	197	236
121-130 km	48	96	24	48	120	238	333	429	515	60	119	166	214	257
131-140 km	51	102	26	51	128	257	360	462	554	64	128	180	232	278
141-150 km	55	111	27	55	138	276	386	497	596	70	138	194	248	298
151-160 km	56	113	28	56	142	283	395	509	611	71	142	199	254	305
161-170 km	58	116	29	58	145	289	405	521	625	73	145	203	260	312
171-180 km	59	119	29	59	148	296	414	533	640	75	148	208	266	319
181-190 km	61	122	30	61	151	303	423	545	654	76	151	213	272	326
191-200 km	62	124	31	62	155	309	433	557	668	78	155	217	278	334
201-210 km	63	127	31	63	158	316	442	569	683	80	158	222	284	341
211-220 km	64	129	32	64	161	323	451	581	697	81	161	226	290	348
221-230 km	66	132	32	66	165	330	461	593	712	83	165	231	296	355
231-240 km	67	134	33	67	168	336	470	605	726	85	168	236	302	362
241-250 km	69	138	34	69	172	343	479	617	740	86	171	240	308	370
251-260 km	70	140	35	70	175	349	489	629	755	88	175	245	314	377
261-270 km	71	143	35	71	178	356	498	641	769	90	178	250	320	384
271-280 km	72	145	36	72	181	362	507	653	784	92	181	255	326	391
281-290 km	74	148	36	74	185	369	517	665	798	93	185	259	332	398
291-300 km	75	151	38	75	188	376	526	677	812	95	188	264	338	406
301-310 km	76	154	38	76	191	383	535	689	827	97	191	269	344	413
311-320 km	78	156	39	78	195	389	545	701	841	98	195	273	350	420
321-330 km	79	159	39	79	198	396	554	713	856	99	198	278	356	427
331-340 km	80	161	40	80	201	403	563	725	870	102	201	282	362	434
341-350 km	82	164	40	82	205	409	573	737	884	103	205	287	368	442
351-360 km	83	167	41	83	208	416	582	749	899	105	208	292	374	449
361-370 km	84	170	42	84	212	423	591	761	913	106	211	296	380	456
371-380 km	86	172	43	86	215	429	601	773	928	108	215	301	386	463
381-390 km	87	175	43	87	218	436	610	785	942	110	218	306	392	470
391-400 km	88	177	44	88	221	443	619	797	956	111	221	311	398	478
401-410 km	84	167	42	84	209	418	585	752	902	105	208	293	376	451
411-420 km	85	170	42	85	212	424	593	764	917	107	212	298	381	457
421-430 km	86	173	43	86	215	431	602	775	930	108	215	302	387	464
431-440 km	87	175	44	87	219	436	611	786	943	110	219	306	392	470
441-450 km	88	178	44	88	221	443	619	797	956	112	221	311	398	478
451-460 km	89	179	45	89	224	449	628	808	970	113	224	314	404	485
461-470 km	91	182	45	91	228	456	637	819	983	114	228	319	409	491
471-480 km	92	185	46	92	231	461	645	830	996	116	231	324	415	498
481-490 km	94	188	47	94	233	468	654	842	1010	117	233	327	420	504
491-500 km	95	190	47	95	237	473	663	853	1024	119	237	332	426	511
501-510 km	96	193	47	96	240	480	671	864	1037	121	240	337	432	518
511-520 km	97	194	48	97	244	485	680	875	1050	123	244	341	437	524
521-530 km	99	197	49	99	246	492	689	886	1063	124	246	345	443	532
531-540 km	100	200	49	100	249	498	698	897	1076	126	249	350	448	538
541-550 km	101	203	50	101	252	505	706	909	1091	127	252	354	454	545
551-560 km	102	205	51	102	256	511	715	920	1104	128	256	358	459	551
561-570 km	103	207	51	103	259	517	724	931	1117	130	259	363	465	558
571-580 km	104	209	52	104	261	524	732	942	1130	131	261	366	471	565
581-590 km	106	212	52	106	265	529	741	953	1144	133	265	371	476	571
591-600 km	107	215	53	107	268	536	750	964	1157	135	268	376	482	578
601-610 km	109	218	54	109	272	542	758	976	1171	136	271	379	487	584
611-620 km	110	219	55	110	273	548	767	987	1184	138	273	384	493	592
621-630 km	111	222	55	111	277	554	776	998	1198	140	277	389	498	598
631-640 km	112	224	56	112	280	561	784	1009	1211	140	280	392	504	605
641-650 km	113	227	57	113	284	566	793	1020	1224	142	284	397	510	612
651-660 km	114	229	57	114	286	573	802	1031	1237	144	286	402	515	618
661-670 km	116	233	58	116	289	579	810	1043	1252	145	289	406	521	625
671-680 km	117	234	58	117	293	585	819	1054	1265	147	293	410	526	631
681-690 km	118	237	59	118	296	591	828	1065	1278	149	296	415	532	638
691-700 km	119	239	60	119	299	597	836	1076	1291	150	299	419	538	646
701-710 km	121	242	60	121	302	604	845	1087	1304	152	302	423	543	652
711-720 km	122	245	60	122	305	610	854	1098	1318	153	305	428	549	659
721-730 km	123	247	61	123	309	617	862	1109	1331	154	308	432	554	665
731-740 km	125	249	62	125	312	622	871	1121	1345	156	312	436	560	672
741-750 km	126	252	62	126	314	629	880	1132	1358	158	314	441	565	678
751-760 km	126	254	63	126	317	634	888	1143	1372	160	317	445	571	685
761-770 km	128	257	64	128	321	641	897	1154	1385	161	321	449	577	692
771-780 km	129	259	64	129	324	647	906	1165	1398	163	324	454	582	698
781-790 km	130	261	65	130	326	654	914	1176	1411	164	326	458	588	706
791-800 km	131	264	65	131	330	659	923	1187	1424	166	330	462	593	712
801-810 km	133	267	66	133	333	666	932	1199	1439	167	333	467	599	719
811-820 km	134	269	67	134	336	671	940	1210	1452	168	336	471	605	726
821-830 km	136	272	68	136	339	678	950	1221	1465	170	339	475	610	732
831-840 km	137	273	68	137	342	684	958	1231	1477	172	342	480	616	739
841-850 km	138	277	69	138	345	691	966	1243	1492	174	345	484	621	745
851-860 km	140	279	70	140	349	697	976	1255	1506	175	349	488	627	752
861-870 km	141	282	71	141	352	703	984	1266	1519	177	352	493	632	758
871-880 km	142	284	71	142	354	710	992	1277	1532	178	354	497	638	766
881-890 km	143	286	72	143	358	715	1002	1288	1546	179	357	501	644	773
891-900 km	144	289	72	144	361	722	1010	1299	1559	181	361	505	649	779
901-910 km	146	292	73	146	364	727	1018	1310	1572	182	364	511	655	786
911-920 km	147	294	73	147	367	734	1028	1322	1586	184	367	514	660	792
921-930 km	148	297	74	148	370	740	1036	1333	1600	186	370	519	666	799
931-940 km	149	299	74	149	373	746	1044	1343	1612	187	373	523	671	805
941-950 km	151	301	75	151	377	752	1054	1355	1626	189	377	527	677	812
951-960 km	152	304	75	152	379	759	1062	1366	1639	191	379	532	683	820
961-970 km	153	306	76	153	382	765	1070	1377	1652	192	382	536	688	826
971-980 km	154	309	77	154	386	771	1080	1388	1666	193	386	540	694	833
981-990 km	155	312	77	155	389	777	1088	1400	1680	195	389	545	699	839
991-1000 km	156	313	78	156	392	783	1096	1411	1693	196	392	549	705	846
