Mesafa_km	Yuklu_10fut	Yuklu_20fut	Yuklu_30fut	Yuklu_40_45fut	Bos_10fut	Bos_20fut	Bos_30fut	Bos_40_45fut
1-10 km	5	10	13	17	2	4	7	9
11-20 km	14	28	40	51	8	14	20	26
21-30 km	24	48	66	86	12	24	34	42
31-40 km	34	66	94	120	17	34	47	60
41-50 km	44	86	120	154	22	42	60	77
51-60 km	52	104	147	188	26	52	73	95
61-70 km	62	124	173	223	32	62	87	111
71-80 km	72	143	200	257	36	72	100	128
81-90 km	82	162	226	292	40	81	113	146
91-100 km	90	181	254	325	46	90	126	163
101-110 km	100	200	280	360	50	100	140	180
111-120 km	110	219	307	394	55	110	153	197
121-130 km	120	238	333	429	60	119	166	214
131-140 km	128	257	360	462	64	128	180	232
141-150 km	138	276	386	497	70	138	194	248
151-160 km	148	295	413	531	74	148	207	265
161-170 km	158	314	440	566	78	157	220	283
171-180 km	166	333	467	599	84	166	233	300
181-190 km	176	353	493	634	88	176	247	317
191-200 km	186	371	520	668	94	186	260	334
201-210 km	196	391	546	703	98	195	273	351
211-220 km	205	409	573	737	102	205	286	369
221-230 km	214	429	599	771	108	214	300	385
231-240 km	224	447	627	805	112	224	313	403
241-250 km	234	467	653	840	116	233	326	420
251-260 km	243	485	680	874	122	243	339	437
261-270 km	252	505	706	908	126	252	354	454
271-280 km	262	523	733	942	132	262	367	471
281-290 km	272	543	759	977	136	271	380	489
291-300 km	281	561	787	1011	140	281	393	506
301-310 km	290	581	813	1046	146	290	407	522
311-320 km	300	599	840	1079	150	300	420	540
321-330 km	310	619	866	1114	154	309	433	557
331-340 km	319	638	893	1148	160	319	446	574
341-350 km	329	657	919	1183	164	329	460	591
351-360 km	338	676	947	1216	170	338	473	608
361-370 km	348	695	973	1251	174	347	486	626
371-380 km	357	714	1000	1285	178	357	499	643
381-390 km	367	733	1026	1320	184	367	514	659
391-400 km	376	752	1053	1353	188	376	527	677
401-410 km	386	771	1079	1388	193	385	540	694
411-420 km	395	790	1106	1422	198	395	553	712
421-430 km	405	809	1133	1457	202	405	567	728
431-440 km	415	828	1160	1491	208	415	580	745
441-450 km	424	848	1186	1525	212	423	593	763
451-460 km	433	866	1213	1559	217	433	606	780
461-470 km	443	886	1239	1594	222	443	620	796
471-480 km	453	904	1266	1628	226	453	633	814
481-490 km	462	924	1293	1662	231	461	646	831
491-500 km	471	942	1320	1696	236	471	659	849
501-510 km	481	962	1346	1731	240	481	673	865
511-520 km	491	980	1373	1765	246	491	687	882
521-530 km	500	1000	1399	1800	250	499	700	900
531-540 km	509	1018	1426	1833	255	509	713	917
541-550 km	519	1038	1452	1868	260	519	727	934
551-560 km	529	1056	1480	1902	264	529	740	951
561-570 km	539	1076	1506	1937	269	537	753	968
571-580 km	547	1095	1533	1970	274	547	766	986
581-590 km	557	1114	1559	2005	279	557	780	1002
591-600 km	567	1133	1586	2039	284	567	793	1019
601-610 km	577	1152	1612	2074	288	576	806	1037
611-620 km	585	1171	1640	2107	293	585	819	1054
621-630 km	595	1190	1666	2142	298	595	833	1071
631-640 km	605	1209	1693	2176	302	605	846	1088
641-650 km	615	1228	1719	2211	307	614	860	1105
651-660 km	623	1247	1746	2245	312	623	873	1123
661-670 km	633	1266	1772	2279	317	633	887	1139
671-680 km	643	1285	1800	2313	322	643	900	1157
681-690 km	653	1305	1826	2348	326	652	913	1174
691-700 km	662	1323	1853	2382	331	662	926	1191
701-710 km	671	1343	1879	2416	336	671	940	1208
711-720 km	681	1361	1906	2450	341	681	953	1225
721-730 km	691	1381	1932	2485	345	690	966	1242
731-740 km	700	1399	1959	2519	350	700	979	1260
741-750 km	709	1419	1986	2554	355	709	993	1276
751-760 km	719	1437	2013	2587	360	719	1006	1294
761-770 km	729	1457	2039	2622	364	728	1019	1311
771-780 km	738	1475	2066	2656	369	738	1033	1328
781-790 km	747	1495	2092	2691	374	747	1047	1345
791-800 km	757	1513	2119	2724	379	757	1060	1362
801-810 km	767	1533	2146	2759	383	766	1073	1380
811-820 km	776	1551	2173	2793	388	776	1086	1397
821-830 km	786	1571	2199	2828	393	786	1100	1413
831-840 km	795	1590	2226	2861	398	795	1113	1431
841-850 km	805	1609	2252	2896	403	804	1126	1448
851-860 km	814	1628	2279	2930	407	814	1139	1466
861-870 km	824	1647	2305	2965	412	824	1153	1482
871-880 km	833	1666	2333	2999	417	833	1166	1499
881-890 km	843	1685	2359	3033	421	842	1179	1517
891-900 km	852	1704	2386	3067	426	852	1192	1534
901-910 km	862	1723	2412	3102	431	862	1207	1550
911-920 km	871	1742	2439	3136	436	871	1220	1568
921-930 km	881	1761	2465	3170	441	880	1233	1585
931-940 km	890	1780	2493	3204	445	890	1246	1603
941-950 km	900	1800	2519	3239	450	900	1260	1619
951-960 km	910	1818	2546	3273	455	910	1273	1636
961-970 km	919	1838	2572	3308	459	918	1286	1654
971-980 km	928	1856	2599	3341	465	928	1299	1671
981-990 km	938	1876	2625	3376	469	938	1313	1687
991-1000 km	948	1894	2653	3410	474	948	1326	1705
