### ADY MƏXFİ VƏ MƏHSULDAR YÜKLƏRİN MÜHAFİZƏSİ CƏDVALİ (Список кодов ГНГ подлежащих обязательной охране)

| Kod GNG (GNG_Code) | Mühafizə rejim (Okrana_Razi) | Kateqoriya təsviri (Opisanie_Kategorii) |
| :--- | :--- | :--- |
| **2000000** | 1 | Мясо и пищевые мясные субпродукты |
| **2010000** | 1 | Мясо КРС свежее или охлажденное |
| **2011000** | 1 | Мясо КРС в тушах |
| **2012000** | 1 | Мясо КРС необваленное |
| **2012020** | 1 | Туши КРС |
| **2012030** | 1 | Отрубы КРС |
| **2012050** | 1 | Четвертины КРС |
| **2012090** | 1 | Прочие отрубы КРС |
| **2013000** | 1 | Мясо КРС бескостное |
| **2020000** | 1 | Мясо КРС замороженное |
| **2021000** | 1 | Мясо КРС замороженное в тушах |
| **2022000** | 1 | Мясо КРС замороженное необваленное |
| **2023000** | 1 | Мясо КРС замороженное бескостное |
| **2030000** | 1 | Свинина свежая, охлажденная или замороженная |
| **2031100** | 1 | Свинина в тушах |
| **2031200** | 1 | Окорока и лопатки свиные |
| **2031900** | 1 | Прочая свинина |
| **2040000** | 1 | Баранина и козлятина |
| **2050000** | 1 | Конина, ослятина |
| **2060000** | 1 | Субпродукты пищевые КРС, свиней, овец |
| **2070000** | 1 | Мясо и субпродукты птицы |
| **2080000** | 1 | Прочее мясо и субпродукты |
| **2090000** | 1 | Сало свиное и жир птицы |
| **2100000** | 1 | Мясо соленое, сушеное, копченое |
| **4020000** | 1 | Молоко и сливки сгущенные |
| **4039000** | 1 | Пахта, йогурт, кефир |
| **4040000** | 1 | Сыворотка молочная |
| **4050000** | 1 | Масло сливочное и молочные жиры |
| **4060000** | 1 | Сыры и творог |
| **4080000** | 1 | Яйца птиц без скорлупы |
| **8010000** | 1 | Орехи кокосовые, бразильские, кешью |
| **9010000** | 1 | Кофе и шелуха кофе |
| **9020000** | 1 | Чай |
| **9030000** | 1 | Мате |
| **9040000** | 1 | Перец, ваниль, корица |
| **9050000** | 1 | Ваниль |
| **9060000** | 1 | Корица |
| **9070000** | 1 | Гвоздика |
| **9080000** | 1 | Мускатный орех |
| **9090000** | 1 | Семена аниса, бадьяна, фенхеля |
