### CƏDVAL 10 — Xüsusi, tank və refrijerator konteynerlərdə daşınan yüklərin tarif qiymətləri (İsveçrə frankı ilə 1 konteyner üçün)

| Məsafə, km | Tank 20 fut Yüklü | Tank 20 fut Boş | Tank 40 fut Yüklü | Tank 40 fut Boş | Tank Şərab/Şirəsi 20 fut | Tank Şərab/Şirəsi 40 fut | Ref 20 fut Yüklü | Ref 20 fut Boş | Ref 40 fut Yüklü | Ref 40 fut Boş |
| **1-10 km** | 14 | 6 | 24 | 13 | 13 | 22 | 14 | 5 | 23 | 12 |
| **11-20 km** | 39 | 20 | 71 | 36 | 36 | 66 | 38 | 19 | 69 | 35 |
| **21-30 km** | 67 | 34 | 120 | 59 | 62 | 112 | 65 | 32 | 116 | 57 |
| **31-40 km** | 92 | 48 | 168 | 84 | 86 | 156 | 89 | 46 | 162 | 81 |
| **41-50 km** | 120 | 59 | 216 | 108 | 112 | 200 | 116 | 57 | 208 | 104 |
| **51-60 km** | 146 | 73 | 263 | 133 | 135 | 244 | 140 | 70 | 254 | 128 |
| **61-70 km** | 174 | 87 | 312 | 155 | 161 | 290 | 167 | 84 | 301 | 150 |
| **71-80 km** | 200 | 101 | 360 | 179 | 186 | 334 | 193 | 97 | 347 | 173 |
| **81-90 km** | 227 | 113 | 409 | 204 | 211 | 380 | 219 | 109 | 394 | 197 |
| **91-100 km** | 253 | 126 | 455 | 228 | 235 | 423 | 244 | 122 | 439 | 220 |
| **101-110 km** | 280 | 140 | 504 | 252 | 260 | 468 | 270 | 135 | 486 | 243 |
| **111-120 km** | 307 | 154 | 552 | 276 | 285 | 512 | 296 | 149 | 532 | 266 |
| **121-130 km** | 333 | 167 | 601 | 300 | 309 | 558 | 321 | 161 | 579 | 289 |
| **131-140 km** | 360 | 179 | 647 | 325 | 334 | 601 | 347 | 173 | 624 | 313 |
| **141-150 km** | 386 | 193 | 696 | 347 | 359 | 646 | 373 | 186 | 671 | 335 |
| **151-160 km** | 396 | 198 | 712 | 356 | 367 | 662 | 382 | 191 | 687 | 343 |
| **161-170 km** | 405 | 203 | 730 | 364 | 376 | 678 | 391 | 195 | 704 | 351 |
| **171-180 km** | 414 | 207 | 746 | 373 | 385 | 693 | 400 | 200 | 719 | 359 |
| **181-190 km** | 424 | 212 | 763 | 381 | 394 | 708 | 409 | 204 | 736 | 367 |
| **191-200 km** | 433 | 217 | 780 | 389 | 402 | 724 | 417 | 209 | 752 | 375 |
| **201-210 km** | 443 | 221 | 797 | 398 | 411 | 740 | 427 | 213 | 768 | 383 |
| **211-220 km** | 452 | 226 | 813 | 406 | 419 | 755 | 435 | 218 | 784 | 392 |
| **221-230 km** | 461 | 230 | 830 | 414 | 428 | 771 | 445 | 222 | 800 | 400 |
| **231-240 km** | 470 | 235 | 847 | 423 | 437 | 786 | 453 | 227 | 816 | 408 |
| **241-250 km** | 480 | 240 | 864 | 431 | 446 | 802 | 463 | 231 | 833 | 416 |
| **251-260 km** | 489 | 245 | 881 | 440 | 454 | 818 | 471 | 236 | 849 | 424 |
| **261-270 km** | 499 | 249 | 897 | 448 | 463 | 833 | 481 | 240 | 865 | 432 |
| **271-280 km** | 507 | 254 | 914 | 456 | 471 | 849 | 489 | 245 | 881 | 440 |
| **281-290 km** | 517 | 258 | 931 | 465 | 480 | 865 | 499 | 249 | 898 | 449 |
| **291-300 km** | 526 | 263 | 948 | 474 | 488 | 880 | 507 | 254 | 914 | 457 |
| **301-310 km** | 536 | 268 | 965 | 481 | 498 | 896 | 517 | 258 | 930 | 464 |
| **311-320 km** | 545 | 273 | 981 | 490 | 506 | 911 | 525 | 263 | 946 | 473 |
| **321-330 km** | 554 | 277 | 998 | 499 | 515 | 927 | 535 | 267 | 962 | 481 |
| **331-340 km** | 564 | 282 | 1015 | 507 | 524 | 942 | 544 | 272 | 979 | 489 |
| **341-350 km** | 573 | 287 | 1032 | 515 | 532 | 958 | 553 | 277 | 995 | 497 |
| **351-360 km** | 582 | 291 | 1048 | 524 | 541 | 973 | 562 | 281 | 1011 | 505 |
| **361-370 km** | 592 | 296 | 1065 | 532 | 549 | 989 | 571 | 285 | 1027 | 513 |
| **371-380 km** | 601 | 301 | 1082 | 541 | 558 | 1005 | 580 | 290 | 1043 | 521 |
| **381-390 km** | 610 | 305 | 1099 | 549 | 567 | 1021 | 589 | 295 | 1060 | 529 |
| **391-400 km** | 620 | 310 | 1115 | 557 | 575 | 1036 | 598 | 299 | 1075 | 538 |
| **401-410 km** | 585 | 291 | 1053 | 526 | 543 | 978 | 564 | 281 | 1015 | 508 |
| **411-420 km** | 594 | 297 | 1070 | 533 | 551 | 993 | 572 | 286 | 1031 | 514 |
| **421-430 km** | 603 | 301 | 1085 | 542 | 560 | 1008 | 582 | 290 | 1046 | 522 |
| **431-440 km** | 610 | 307 | 1100 | 549 | 567 | 1022 | 589 | 296 | 1061 | 529 |
| **441-450 km** | 620 | 309 | 1116 | 557 | 576 | 1036 | 598 | 298 | 1076 | 537 |
| **451-460 km** | 629 | 314 | 1131 | 566 | 584 | 1050 | 606 | 302 | 1091 | 545 |
| **461-470 km** | 638 | 319 | 1147 | 573 | 593 | 1065 | 616 | 308 | 1106 | 552 |
| **471-480 km** | 645 | 323 | 1162 | 581 | 599 | 1079 | 622 | 312 | 1121 | 560 |
| **481-490 km** | 655 | 326 | 1179 | 588 | 608 | 1095 | 632 | 315 | 1137 | 567 |
| **491-500 km** | 662 | 332 | 1194 | 596 | 615 | 1109 | 639 | 320 | 1152 | 575 |
| **501-510 km** | 672 | 336 | 1210 | 605 | 624 | 1123 | 648 | 324 | 1166 | 583 |
| **511-520 km** | 679 | 342 | 1225 | 612 | 631 | 1138 | 655 | 329 | 1181 | 590 |
| **521-530 km** | 689 | 344 | 1240 | 620 | 640 | 1152 | 664 | 332 | 1196 | 598 |
| **531-540 km** | 697 | 349 | 1256 | 627 | 647 | 1166 | 672 | 336 | 1211 | 605 |
| **541-550 km** | 707 | 353 | 1273 | 636 | 657 | 1182 | 682 | 340 | 1227 | 613 |
| **551-560 km** | 715 | 358 | 1288 | 643 | 664 | 1196 | 690 | 346 | 1242 | 620 |
| **561-570 km** | 724 | 363 | 1303 | 651 | 672 | 1210 | 698 | 350 | 1257 | 628 |
| **571-580 km** | 734 | 365 | 1319 | 659 | 681 | 1225 | 707 | 352 | 1272 | 636 |
| **581-590 km** | 741 | 371 | 1334 | 666 | 688 | 1239 | 714 | 358 | 1287 | 643 |
| **591-600 km** | 750 | 375 | 1350 | 675 | 697 | 1253 | 724 | 362 | 1301 | 651 |
| **601-610 km** | 759 | 379 | 1366 | 682 | 705 | 1269 | 732 | 366 | 1318 | 657 |
| **611-620 km** | 767 | 382 | 1382 | 690 | 712 | 1283 | 740 | 369 | 1332 | 666 |
| **621-630 km** | 776 | 388 | 1397 | 697 | 720 | 1297 | 748 | 374 | 1347 | 672 |
| **631-640 km** | 785 | 392 | 1413 | 706 | 729 | 1312 | 757 | 378 | 1362 | 680 |
| **641-650 km** | 792 | 398 | 1428 | 714 | 736 | 1326 | 764 | 383 | 1377 | 689 |
| **651-660 km** | 802 | 400 | 1443 | 721 | 745 | 1340 | 774 | 386 | 1392 | 695 |
| **661-670 km** | 811 | 405 | 1460 | 729 | 753 | 1356 | 782 | 390 | 1408 | 703 |
| **671-680 km** | 819 | 410 | 1476 | 736 | 761 | 1370 | 790 | 396 | 1423 | 710 |
| **681-690 km** | 827 | 414 | 1491 | 745 | 768 | 1385 | 798 | 400 | 1438 | 718 |
| **691-700 km** | 836 | 419 | 1506 | 753 | 776 | 1399 | 806 | 404 | 1453 | 726 |
| **701-710 km** | 846 | 423 | 1522 | 760 | 785 | 1413 | 815 | 408 | 1467 | 733 |
| **711-720 km** | 854 | 427 | 1537 | 769 | 793 | 1427 | 824 | 412 | 1482 | 741 |
| **721-730 km** | 864 | 431 | 1553 | 776 | 802 | 1442 | 833 | 416 | 1497 | 748 |
| **731-740 km** | 871 | 437 | 1569 | 784 | 809 | 1457 | 840 | 421 | 1513 | 756 |
| **741-750 km** | 881 | 440 | 1585 | 791 | 818 | 1472 | 849 | 424 | 1528 | 763 |
| **751-760 km** | 888 | 444 | 1600 | 799 | 824 | 1486 | 856 | 428 | 1543 | 771 |
| **761-770 km** | 897 | 449 | 1616 | 808 | 833 | 1500 | 865 | 433 | 1558 | 779 |
| **771-780 km** | 906 | 454 | 1631 | 815 | 841 | 1515 | 873 | 437 | 1573 | 786 |
| **781-790 km** | 916 | 456 | 1646 | 823 | 850 | 1529 | 883 | 440 | 1588 | 794 |
