================================================================================
CƏDVƏL 4 / ТАБЛИЦА 4 / TABLE 4
Universal vaqonlarda tranzit daşınan yüklərin tarif qiymətləri
(İsveçrə frankı ilə 1 tonun qiyməti / Тарифные ставки в CHF за 1 тонну)
================================================================================
Məsafə | 10 t | 15 t | 20 t | 25 t | 30 t | 35 t | 40 t | 45 t | 50 t | 55 t | 60 t
1-10 | 0.98 | 0.78 | 0.68 | 0.59 | 0.54 | 0.49 | 0.44 | 0.40 | 0.37 | 0.34 | 0.32
11-20 | 2.84 | 2.35 | 1.96 | 1.86 | 1.74 | 1.55 | 1.40 | 1.27 | 1.17 | 1.10 | 1.03
21-30 | 4.80 | 4.01 | 3.23 | 3.03 | 2.82 | 2.52 | 2.28 | 2.06 | 1.91 | 1.79 | 1.67
31-40 | 6.66 | 5.58 | 4.50 | 4.21 | 3.92 | 3.49 | 3.16 | 2.86 | 2.66 | 2.48 | 2.31
41-50 | 8.61 | 7.15 | 5.78 | 5.48 | 5.09 | 4.55 | 4.11 | 3.73 | 3.46 | 3.23 | 3.02
51-60 | 10.48 | 8.71 | 7.05 | 6.66 | 6.19 | 5.53 | 5.00 | 4.53 | 4.19 | 3.93 | 3.66
61-70 | 12.44 | 10.38 | 8.33 | 7.83 | 7.28 | 6.50 | 5.88 | 5.33 | 4.93 | 4.62 | 4.31
71-80 | 14.29 | 11.94 | 9.59 | 9.11 | 8.47 | 7.56 | 6.83 | 6.19 | 5.74 | 5.37 | 5.01
81-90 | 16.25 | 13.51 | 10.87 | 10.28 | 9.56 | 8.53 | 7.71 | 6.99 | 6.47 | 6.07 | 5.65
91-100 | 18.12 | 15.08 | 12.14 | 11.46 | 10.66 | 9.51 | 8.60 | 7.79 | 7.22 | 6.76 | 6.30
101-110 | 19.88 | 16.55 | 13.22 | 12.54 | 11.66 | 10.40 | 9.41 | 8.52 | 7.90 | 7.40 | 6.90
111-120 | 21.35 | 17.82 | 14.29 | 13.51 | 12.56 | 11.21 | 10.13 | 9.19 | 8.51 | 7.97 | 7.43
121-130 | 22.91 | 19.10 | 15.27 | 14.49 | 13.47 | 12.02 | 10.87 | 9.86 | 9.13 | 8.55 | 7.97
131-140 | 24.48 | 20.37 | 16.25 | 15.47 | 14.39 | 12.84 | 11.60 | 10.52 | 9.75 | 9.13 | 8.51
141-150 | 25.95 | 21.64 | 17.33 | 16.45 | 15.30 | 13.65 | 12.34 | 11.19 | 10.37 | 9.71 | 9.05
151-160 | 27.51 | 22.91 | 18.32 | 17.43 | 16.21 | 14.47 | 13.08 | 11.85 | 10.98 | 10.29 | 9.60
161-170 | 28.98 | 24.18 | 19.39 | 18.41 | 17.12 | 15.27 | 13.81 | 12.52 | 11.59 | 10.86 | 10.13
171-180 | 30.56 | 25.46 | 20.37 | 19.39 | 18.03 | 16.09 | 14.54 | 13.19 | 12.21 | 11.44 | 10.67
181-190 | 32.12 | 26.73 | 21.35 | 20.27 | 18.85 | 16.82 | 15.20 | 13.78 | 12.77 | 11.96 | 11.15
191-200 | 33.59 | 28.01 | 22.43 | 21.25 | 19.76 | 17.64 | 15.94 | 14.45 | 13.38 | 12.54 | 11.70
201-210 | 34.65 | 28.87 | 23.09 | 21.92 | 20.39 | 18.19 | 16.43 | 14.90 | 13.81 | 12.93 | 12.05
211-220 | 35.78 | 29.80 | 23.82 | 22.64 | 21.06 | 18.79 | 16.98 | 15.40 | 14.27 | 13.36 | 12.46
221-230 | 36.85 | 30.74 | 24.56 | 23.31 | 21.68 | 19.35 | 17.49 | 15.85 | 14.69 | 13.75 | 12.83
231-240 | 37.92 | 31.60 | 25.29 | 24.05 | 22.37 | 19.96 | 18.04 | 16.35 | 15.15 | 14.18 | 13.22
241-250 | 39.05 | 32.54 | 26.02 | 24.71 | 22.99 | 20.51 | 18.53 | 16.80 | 15.57 | 14.58 | 13.59
251-260 | 40.11 | 33.47 | 26.76 | 25.38 | 23.61 | 21.07 | 19.04 | 17.26 | 15.99 | 14.98 | 13.96
261-270 | 41.18 | 34.33 | 27.49 | 26.11 | 24.28 | 21.67 | 19.58 | 17.76 | 16.45 | 15.41 | 14.36
271-280 | 42.31 | 35.26 | 28.22 | 26.78 | 24.90 | 22.22 | 20.08 | 18.21 | 16.87 | 15.80 | 14.72
281-290 | 43.37 | 36.20 | 28.95 | 27.44 | 25.52 | 22.78 | 20.58 | 18.66 | 17.29 | 16.19 | 15.09
291-300 | 44.51 | 37.06 | 29.68 | 28.17 | 26.20 | 23.38 | 21.13 | 19.15 | 17.75 | 16.62 | 15.50
