================================================================================
CƏDVƏL 5 / ТАБЛИЦА 5 / TABLE 5
İzotermik vaqonlarda, avtomobil daşıyan xüsusi təyinatlı örtülü vaqonlarda 
daşınan yüklərin və İNV, ANV daşımalarının tarif qiymətləri
(İsveçrə frankı ilə / Тарифные ставки в CHF)
================================================================================
Колонки:
1: Məsafə, km
2: Refrijeratorlar, ARV (25 tondan aşağı 1 vaqon)
3: Refrijeratorlar, ARV (25 ton və yuxarı 1 ton)
4: Vaqon-termoslar, vaqon-ledniklər (25 tondan aşağı 1 vaqon)
5: Vaqon-termoslar, vaqon-ledniklər (25 ton və yuxarı 1 ton)
6: Xüsusi təyinatlı örtülü vaqonlarda daşınan avtomobillər (10 ton və yuxarı 1 ton)
7: İNV, ANV daşımaları (yüklü)
8: İNV, ANV daşımaları (boş)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8
1-10 | 19.00 | 0.65 | 11.40 | 0.39 | 1.09 | 10.90 | 7.63
11-20 | 54.50 | 2.07 | 32.70 | 1.24 | 3.16 | 31.60 | 22.12
21-30 | 89.75 | 3.37 | 53.85 | 2.02 | 5.33 | 53.30 | 37.31
31-40 | 125.00 | 4.68 | 75.00 | 2.81 | 7.40 | 74.00 | 51.80
41-50 | 160.50 | 6.09 | 96.30 | 3.65 | 9.57 | 95.70 | 66.99
51-60 | 195.75 | 7.40 | 117.45 | 4.44 | 11.64 | 116.40 | 81.48
61-70 | 231.25 | 8.70 | 138.75 | 5.22 | 13.82 | 138.20 | 96.74
71-80 | 266.50 | 10.12 | 159.90 | 6.07 | 15.88 | 158.80 | 111.16
81-90 | 302.00 | 11.42 | 181.20 | 6.85 | 18.06 | 180.60 | 126.42
91-100 | 337.25 | 12.73 | 202.35 | 7.64 | 20.13 | 201.30 | 140.91
101-110 | 367.25 | 13.93 | 220.35 | 8.36 | 22.09 | 220.90 | 154.63
111-120 | 397.00 | 15.01 | 238.20 | 9.01 | 23.72 | 237.20 | 166.04
121-130 | 424.25 | 16.10 | 254.55 | 9.66 | 25.46 | 254.60 | 178.22
131-140 | 451.50 | 17.19 | 270.90 | 10.31 | 27.20 | 272.00 | 190.40
141-150 | 481.50 | 18.28 | 288.90 | 10.97 | 28.83 | 288.30 | 201.81
151-160 | 508.75 | 19.37 | 305.25 | 11.62 | 30.57 | 305.70 | 213.99
161-170 | 538.50 | 20.45 | 323.10 | 12.27 | 32.20 | 322.00 | 225.40
171-180 | 565.75 | 21.54 | 339.45 | 12.92 | 33.95 | 339.50 | 237.65
181-190 | 593.00 | 22.52 | 355.80 | 13.51 | 35.69 | 356.90 | 249.83
191-200 | 623.00 | 23.61 | 373.80 | 14.17 | 37.32 | 373.80 | 261.24
201-210 | 650.00 | 24.70 | 390.00 | 14.82 | 39.06 | 390.60 | 273.42
211-220 | 680.00 | 25.89 | 408.00 | 15.53 | 40.91 | 409.10 | 286.37
221-230 | 710.00 | 26.98 | 426.00 | 16.19 | 42.65 | 426.50 | 298.55
231-240 | 739.75 | 28.18 | 443.85 | 16.91 | 44.39 | 443.90 | 310.73
241-250 | 769.75 | 29.27 | 461.85 | 17.56 | 46.24 | 462.40 | 323.68
251-260 | 799.75 | 30.36 | 479.85 | 18.22 | 47.98 | 479.80 | 335.86
261-270 | 829.50 | 31.55 | 497.70 | 18.93 | 49.72 | 497.20 | 348.04
271-280 | 859.50 | 32.64 | 515.70 | 19.58 | 51.57 | 515.70 | 360.99
281-290 | 889.50 | 33.73 | 533.70 | 20.24 | 53.31 | 533.10 | 373.17
291-300 | 919.25 | 34.92 | 551.55 | 20.95 | 55.16 | 551.60 | 386.12
301-310 | 946.50 | 36.01 | 567.90 | 21.61 | 56.90 | 569.00 | 398.30
311-320 | 976.50 | 37.10 | 585.90 | 22.26 | 58.53 | 585.30 | 409.71
321-330 | 1003.75 | 38.19 | 602.25 | 22.91 | 60.28 | 602.80 | 421.96
331-340 | 1033.50 | 39.28 | 620.10 | 23.57 | 61.91 | 619.10 | 433.37
341-350 | 1060.75 | 40.36 | 636.45 | 24.22 | 63.65 | 636.50 | 445.55
351-360 | 1088.00 | 41.34 | 652.80 | 24.80 | 65.39 | 653.90 | 457.73
361-370 | 1118.00 | 42.43 | 670.80 | 25.46 | 67.02 | 670.20 | 469.14
371-380 | 1145.00 | 43.52 | 687.00 | 26.11 | 68.76 | 687.60 | 481.32
381-390 | 1175.00 | 44.61 | 705.00 | 26.77 | 70.39 | 703.90 | 492.73
391-400 | 1202.25 | 45.70 | 721.35 | 27.42 | 72.13 | 721.30 | 504.91
401-410 | 1229.50 | 46.78 | 737.70 | 28.07 | 73.77 | 737.70 | 516.39
411-420 | 1256.75 | 47.76 | 754.05 | 28.66 | 75.40 | 754.00 | 527.80
421-430 | 1283.75 | 48.74 | 770.25 | 29.24 | 77.03 | 770.30 | 539.21
431-440 | 1311.00 | 49.83 | 786.60 | 29.90 | 78.66 | 786.60 | 550.62
441-450 | 1338.25 | 50.81 | 802.95 | 30.49 | 80.19 | 801.90 | 561.33
451-460 | 1365.50 | 51.79 | 819.30 | 31.07 | 81.82 | 818.20 | 572.74
461-470 | 1390.00 | 52.88 | 834.00 | 31.73 | 83.45 | 834.50 | 584.15
471-480 | 1417.00 | 53.86 | 850.20 | 32.32 | 85.08 | 850.80 | 595.56
481-490 | 1444.25 | 54.94 | 866.55 | 32.96 | 86.71 | 867.10 | 606.97
491-500 | 1471.50 | 55.92 | 882.90 | 33.55 | 88.35 | 883.50 | 618.45
501-510 | 1498.75 | 56.90 | 899.25 | 34.14 | 89.87 | 898.70 | 629.09
511-520 | 1523.25 | 57.88 | 913.95 | 34.73 | 91.39 | 913.90 | 639.73
521-530 | 1547.75 | 58.86 | 928.65 | 35.32 | 92.92 | 929.20 | 650.44
531-540 | 1575.00 | 59.84 | 945.00 | 35.90 | 94.44 | 944.40 | 661.08
541-550 | 1599.25 | 60.82 | 959.55 | 36.49 | 95.96 | 959.60 | 671.72
