from_code,from_name,to_code,to_name,distance_km
548004,Abşeron,547508,Yalama (eksport),204.0
548004,Abşeron,554503,Astara (eksport),300.0
548004,Abşeron,558701,Böyük Kəsik (eksport),476.0
548004,Abşeron,550108,Culfa (eksport),466.0
548004,Abşeron,553002,Ələt eksport-Kurik,67.0
548004,Abşeron,548803,Ələt eksport-Türk.,67.0
548004,Abşeron,549204,Ələt eksport-Aktau,67.0
555506,Ağdam,547508,Yalama (eksport),548.0
555506,Ağdam,554503,Astara (eksport),454.0
555506,Ağdam,558701,Böyük Kəsik (eksport),286.0
555506,Ağdam,550108,Culfa (eksport),620.0
555506,Ağdam,553002,Ələt eksport-Kurik,297.0
555506,Ağdam,548803,Ələt eksport-Türk.,297.0
555506,Ağdam,549204,Ələt eksport-Aktau,297.0
557200,Ağstafa,547508,Yalama (eksport),633.0
557200,Ağstafa,554503,Astara (eksport),539.0
557200,Ağstafa,558701,Böyük Kəsik (eksport),47.0
557200,Ağstafa,550108,Culfa (eksport),705.0
557200,Ağstafa,553002,Ələt eksport-Kurik,382.0
557200,Ağstafa,548803,Ələt eksport-Türk.,382.0
557200,Ağstafa,549204,Ələt eksport-Aktau,382.0
556602,Alabaşlı,547508,Yalama (eksport),551.0
556602,Alabaşlı,554503,Astara (eksport),457.0
556602,Alabaşlı,558701,Böyük Kəsik (eksport),129.0
556602,Alabaşlı,550108,Culfa (eksport),623.0
556602,Alabaşlı,553002,Ələt eksport-Kurik,300.0
556602,Alabaşlı,548803,Ələt eksport-Türk.,300.0
556602,Alabaşlı,549204,Ələt eksport-Aktau,300.0
554109,Astara,547508,Yalama (eksport),504.0
554109,Astara,554503,Astara (eksport),0.0
554109,Astara,558701,Böyük Kəsik (eksport),586.0
554109,Astara,550108,Culfa (eksport),532.0
554109,Astara,553002,Ələt eksport-Kurik,253.0
554109,Astara,548803,Ələt eksport-Türk.,253.0
554109,Astara,549204,Ələt eksport-Aktau,253.0
554503,Astara (eks.aşır),547508,Yalama (eksport),504.0
554503,Astara (eks.aşır),554503,Astara (eksport),0.0
554503,Astara (eks.aşır),558701,Böyük Kəsik (eksport),586.0
554503,Astara (eks.aşır),550108,Culfa (eksport),532.0
554503,Astara (eks.aşır),553002,Ələt eksport-Kurik,253.0
554503,Astara (eks.aşır),548803,Ələt eksport-Türk.,253.0
554503,Astara (eks.aşır),549204,Ələt eksport-Aktau,253.0
548907,Atbulaq,547508,Yalama (eksport),274.0
548907,Atbulaq,554503,Astara (eksport),240.0
548907,Atbulaq,558701,Böyük Kəsik (eksport),406.0
548907,Atbulaq,550108,Culfa (eksport),406.0
548907,Atbulaq,553002,Ələt eksport-Kurik,23.0
548907,Atbulaq,548803,Ələt eksport-Türk.,23.0
548907,Atbulaq,549204,Ələt eksport-Aktau,23.0
547105,Bakı yük,547508,Yalama (eksport),207.0
547105,Bakı yük,554503,Astara (eksport),327.0
547105,Bakı yük,558701,Böyük Kəsik (eksport),503.0
547105,Bakı yük,550108,Culfa (eksport),493.0
547105,Bakı yük,553002,Ələt eksport-Kurik,94.0
547105,Bakı yük,548803,Ələt eksport-Türk.,94.0
547105,Bakı yük,549204,Ələt eksport-Aktau,94.0
547603,Bakı yük terminal,547508,Yalama (eksport),212.0
547603,Bakı yük terminal,554503,Astara (eksport),332.0
547603,Bakı yük terminal,558701,Böyük Kəsik (eksport),508.0
547603,Bakı yük terminal,550108,Culfa (eksport),498.0
547603,Bakı yük terminal,553002,Ələt eksport-Kurik,99.0
547603,Bakı yük terminal,548803,Ələt eksport-Türk.,99.0
547603,Bakı yük terminal,549204,Ələt eksport-Aktau,99.0
559704,Balakən,547508,Yalama (eksport),634.0
559704,Balakən,554503,Astara (eksport),540.0
559704,Balakən,558701,Böyük Kəsik (eksport),372.0
559704,Balakən,550108,Culfa (eksport),706.0
559704,Balakən,553002,Ələt eksport-Kurik,383.0
559704,Balakən,548803,Ələt eksport-Türk.,383.0
559704,Balakən,549204,Ələt eksport-Aktau,383.0
551308,Bartaz,547508,Yalama (eksport),556.0
551308,Bartaz,554503,Astara (eksport),418.0
551308,Bartaz,558701,Böyük Kəsik (eksport),638.0
551308,Bartaz,550108,Culfa (eksport),114.0
551308,Bartaz,553002,Ələt eksport-Kurik,305.0
551308,Bartaz,548803,Ələt eksport-Türk.,305.0
551308,Bartaz,549204,Ələt eksport-Aktau,305.0
557501,Barxudarlı,547508,Yalama (eksport),663.0
557501,Barxudarlı,554503,Astara (eksport),569.0
557501,Barxudarlı,558701,Böyük Kəsik (eksport),77.0
557501,Barxudarlı,550108,Culfa (eksport),735.0
557501,Barxudarlı,553002,Ələt eksport-Kurik,412.0
557501,Barxudarlı,548803,Ələt eksport-Türk.,412.0
557501,Barxudarlı,549204,Ələt eksport-Aktau,412.0
550700,Başbaşı,547508,Yalama (eksport),727.0
550700,Başbaşı,554503,Astara (eksport),589.0
550700,Başbaşı,558701,Böyük Kəsik (eksport),809.0
550700,Başbaşı,550108,Culfa (eksport),57.0
550700,Başbaşı,553002,Ələt eksport-Kurik,476.0
550700,Başbaşı,548803,Ələt eksport-Türk.,476.0
550700,Başbaşı,549204,Ələt eksport-Aktau,476.0
555309,Bərdə,547508,Yalama (eksport),503.0
555309,Bərdə,554503,Astara (eksport),409.0
555309,Bərdə,558701,Böyük Kəsik (eksport),241.0
555309,Bərdə,550108,Culfa (eksport),575.0
555309,Bərdə,553002,Ələt eksport-Kurik,252.0
555309,Bərdə,548803,Ələt eksport-Türk.,252.0
555309,Bərdə,549204,Ələt eksport-Aktau,252.0
554804,Bərguşad,547508,Yalama (eksport),414.0
554804,Bərguşad,554503,Astara (eksport),320.0
554804,Bərguşad,558701,Böyük Kəsik (eksport),266.0
554804,Bərguşad,550108,Culfa (eksport),486.0
554804,Bərguşad,553002,Ələt eksport-Kurik,163.0
554804,Bərguşad,548803,Ələt eksport-Türk.,163.0
554804,Bərguşad,549204,Ələt eksport-Aktau,163.0
546808,Biləcəri,547508,Yalama (eksport),192.0
546808,Biləcəri,554503,Astara (eksport),312.0
546808,Biləcəri,558701,Böyük Kəsik (eksport),488.0
546808,Biləcəri,550108,Culfa (eksport),478.0
546808,Biləcəri,553002,Ələt eksport-Kurik,79.0
546808,Biləcəri,548803,Ələt eksport-Türk.,79.0
546808,Biləcəri,549204,Ələt eksport-Aktau,79.0
547707,Binə,547508,Yalama (eksport),227.0
547707,Binə,554503,Astara (eksport),347.0
547707,Binə,558701,Böyük Kəsik (eksport),523.0
547707,Binə,550108,Culfa (eksport),513.0
547707,Binə,553002,Ələt eksport-Kurik,114.0
547707,Binə,548803,Ələt eksport-Türk.,114.0
547707,Binə,549204,Ələt eksport-Aktau,114.0
558631,Böyük Kəsik,547508,Yalama (eksport),676.0
558631,Böyük Kəsik,554503,Astara (eksport),582.0
558631,Böyük Kəsik,558701,Böyük Kəsik (eksport),4.0
558631,Böyük Kəsik,550108,Culfa (eksport),748.0
558631,Böyük Kəsik,553002,Ələt eksport-Kurik,425.0
558631,Böyük Kəsik,548803,Ələt eksport-Türk.,425.0
558631,Böyük Kəsik,549204,Ələt eksport-Aktau,425.0
558701,Böyük Kəsik (eksport),547508,Yalama (eksport),680.0
558701,Böyük Kəsik (eksport),554503,Astara (eksport),586.0
558701,Böyük Kəsik (eksport),558701,Böyük Kəsik (eksport),0.0
