Раздел,Глава,Наименование,GNG_text
00,0000,,00000000
01,0100,Животные живые,01000000
01,0101,"Лошади, ослы, мулы и лошаки живые",01010000
01,0101,Лошади живые чистопородные племенные,01012100
01,0101,Лошади живые прочие,01012900
01,0101,Лошади живые убойные,01012910
01,0101,"Лошади живые прочие, кроме убойных",01012990
01,0101,Ослы,01013000
01,0101,Мулы и лошаки живые прочие,01019000
01,0102,Скот крупный рогатый живой,01020000
01,0102,"Скот крупный рогатый живой чистопородный, племенной",01022100
01,0102,Нетели (самки крупного рогатого скота до первого отела) живые чистопородные племенные,01022110
01,0102,Коровы живые чистопородные племенные,01022130
01,0102,"Скот крупный рогатый живой чистопородный, племенной, прочий",01022190
01,0102,Скот крупный рогатый живой прочий,01022900
01,0102,Животные подрода Bibos или подрода Poephagus,01022905
01,0102,"Скот крупный рогатый живой домашний, массой не более 80 кг",01022910
01,0102,"Скот крупный рогатый живой домашний убойный, массой более 80 кг, но не более 160 кг",01022921
01,0102,"Скот крупный рогатый живой домашний прочий, массой более 80 кг, но не более 160 кг",01022929
01,0102,"Скот крупный рогатый живой домашний убойный, массой более 160 кг, но не более 300 кг",01022941
01,0102,"Скот крупный рогатый живой домашний прочий, массой более 160 кг, но не более 300 кг",01022949
01,0102,"Нетели живые убойные, массой более 300 кг",01022951
01,0102,"Нетели живые прочие, массой более 300 кг",01022959
01,0102,"Коровы живые убойные, массой более 300 кг",01022961
01,0102,"Коровы живые прочие, массой более 300 кг",01022969
01,0102,"Скот крупный рогатый домашний живой, массой более 300 кг, убойные",01022991
01,0102,"Скот крупный рогатый домашний живой, массой более 300 кг, прочие",01022999
01,0102,Буйволы чистопородные племенные,01023100
01,0102,Буйволы прочие,01023900
01,0102,"Буйволы прочие, домашние виды",01023910
01,0102,"Буйволы прочие, прочие виды",01023990
01,0102,Животные подсемейства Bovinae прочие,01029000
01,0102,"Животные подсемейства Bovinae прочие, чистопородные племенные животные",01029020
01,0102,"Животные подсемейства Bovinae прочие, домашние виды, кроме племенных животных",01029091
01,0102,"Животные подсемейства Bovinae прочие, кроме домашних видов и племенных животных",01029099
01,0103,Свиньи живые,01030000
01,0103,Свиньи живые чистопородные племенные,01031000
01,0103,"Свиньи живые, массой менее 50 кг",01039100
01,0103,"Свиньи домашние живые, массой менее 50 кг",01039110
01,0103,"Свиньи прочие живые, массой менее 50 кг",01039190
01,0103,"Свиньи живые, массой 50 кг или более",01039200
01,0103,"Свиноматки домашние живые, массой не менее 160 кг, имевшие по крайней мере один опорос",01039211
01,0103,"Свиньи домашние живые прочие, массой 50 кг или более",01039219
01,0103,"Свиньи прочие живые, массой 50 кг или более",01039290
01,0104,Овцы и козы живые,01040000
01,0104,Овцы живые,01041000
01,0104,"Овцы чистопородные племенные, живые",01041010
01,0104,"Ягнята (до одного года), живые",01041030
01,0104,"Овцы прочие живые, кроме поименованных выше",01041080
01,0104,Козы живые,01042000
01,0104,"Козы чистопородные племенные, живые",01042010
01,0104,Козы прочие живые,01042090
01,0105,"Птица домашняя живая, то есть куры домашние, утки, гуси, индейки и цесарки",01050000
01,0105,"Куры домашние, массой не более 185 г, живые",01051100
01,0105,"Цыплята племенного разведения линии несушек, массой не более 185 г, живые",01051111
01,0105,"Цыплята племенного разведения прочие, массой не более 185 г, живые",01051119
01,0105,"Куры домашние линии несушек, массой не более 185 г, живые",01051191
01,0105,"Куры домашние прочие, массой не более 185 г, живые",01051199
01,0105,"Индейки живые, массой не более 185 г",01051200
01,0105,"Утки живые, массой не более 185 г",01051300
01,0105,"Гуси живые, массой не более 185 г",01051400
01,0105,"Цесарки живые, массой не более 185 г",01051500
01,0105,Куры домашние живые,01059400
01,0105,"Птицы прочие домашние живые, кроме поименованных выше",01059900
01,0105,"Утки живые, массой более 185 г",01059910
01,0105,"Гуси живые, массой более 185 г",01059920
01,0105,"Индейки живые, массой более 185 г",01059930
01,0105,"Цесарки живые, массой более 185 г",01059950
01,0106,Животные живые прочие,01060000
01,0106,Приматы живые,01061100
01,0106,"Киты,   дельфины   и   морские   свиньи   (млекопитающие   отряда   Cetacea);   ламантины   и   дюгони
(млекопитающие отряда Sirenia) живые",01061200
01,0106,Верблюды живые и прочие животные семейства верблюдовых (Camelidae),01061300
01,0106,Кролики и зайцы живые,01061400
01,0106,Кролики домашние живые,01061410
01,0106,"Кролики и зайцы живые, прочие",01061490
01,0106,Млекопитающие прочие живые,01061900
01,0106,Рептилии (включая змей и черепах) живые,01062000
01,0106,Птицы хищные живые,01063100
01,0106,"Попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду)",01063200
01,0106,Страусы и эму (Dromaius novaehollandiae) живые,01063300
01,0106,Птицы прочие,01063900
01,0106,Голуби живые,01063910
01,0106,"Птицы прочие, кроме поименованных выше",01063980
01,0106,Пчелы живые,01064100
01,0106,"Насекомые живые, прочие",01064900
01,0106,Животные прочие живые,01069000
02,0200,Мясо и пищевые мясные субпродукты,02000000
